"Read Details","Citiți detalii","module","Magento_AdminNotification"
"Mark as Read","Marcare ca Citit","module","Magento_AdminNotification"
"Are you sure?","Sunteți sigur?","module","Magento_AdminNotification"
"Remove","Eliminați","module","Magento_AdminNotification"
"Messages Inbox","Mesaje primite","module","Magento_AdminNotification"
"You have %1 new system messages","Aveți %1 mesaje de sistem noi","module","Magento_AdminNotification"
"You have %1 new system message","Aveți %1 mesaj de sistem nou","module","Magento_AdminNotification"
"Incoming Message","Mesaj primit","module","Magento_AdminNotification"
"close","închideți","module","Magento_AdminNotification"
"Notifications","Notificări","module","Magento_AdminNotification"
"The message has been marked as Read.","Mesajul a fost marcat ca Citit.","module","Magento_AdminNotification"
"We couldn't mark the notification as Read because of an error.","Nu s-a putut marca notificarea ca Citită din cauza unei erori.","module","Magento_AdminNotification"
"Please select messages.","Selectați mesajele.","module","Magento_AdminNotification"
"A total of %1 record(s) have been marked as Read.","Un total de %1 documente(e) au fost marcate ca Citite.","module","Magento_AdminNotification"
"Total of %1 record(s) have been removed.","Un total de %1 documente(e) au fost eliminate.","module","Magento_AdminNotification"
"We couldn't remove the messages because of an error.","Nu s-a putut elimina mesajul din cauza unei erori .","module","Magento_AdminNotification"
"The message has been removed.","Mesajul a fost eliminat.","module","Magento_AdminNotification"
"1 Hour","1 oră","module","Magento_AdminNotification"
"2 Hours","2 ore","module","Magento_AdminNotification"
"6 Hours","6 ore","module","Magento_AdminNotification"
"12 Hours","12 ore","module","Magento_AdminNotification"
"24 Hours","24 ore","module","Magento_AdminNotification"
"critical","critic","module","Magento_AdminNotification"
"major","important","module","Magento_AdminNotification"
"minor","neimportant","module","Magento_AdminNotification"
"notice","înștiințare","module","Magento_AdminNotification"
"Wrong message type","Tip de mesaj greşit","module","Magento_AdminNotification"
"Wrong notification ID specified.","ID de notificare greșit specificat.","module","Magento_AdminNotification"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} nu se recomandă folosirea în medii de producție declararea Bază URL Nesigură/ Bază URL sigură. Recomandăm schimbarea acestei valori în sistemul dumneavoastră Magento <a href=""%1"">configuration</a>.","module","Magento_AdminNotification"
"One or more of the Cache Types are invalidated: %1.","Unul sau mai multe Tipuri Cache sunt nevalide: %1.","module","Magento_AdminNotification"
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Mergeți la <a href=""%1"">Cache Management</a> și reîmprospătați tipurile cache.","module","Magento_AdminNotification"
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nu s-au putut sincroniza unul sau mai multe fișiere media. Consultați fișierul-jurnal pentru detalii.","module","Magento_AdminNotification"
"Synchronization of media storages has been completed.","Sincronizarea pentru stocare media a fost finalizată.","module","Magento_AdminNotification"
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Serverul dumneavoastră web este setat incorect și permite accesul neautorizat la fișiere sensibile. Contactați furnizorul dumneavoastră de servicii de stocare.","module","Magento_AdminNotification"
"Close popup","închide popup","module","Magento_AdminNotification"
"Close","închide","module","Magento_AdminNotification"
"System Messages:","Mesaje de sistem:","module","Magento_AdminNotification"
"Critical System Messages","Mesaje de sistem critice","module","Magento_AdminNotification"
"Major System Messages","Mesaj de sistem important","module","Magento_AdminNotification"
"System messages","Mesaje de sistem","module","Magento_AdminNotification"
"See All (","Vizualizați toate (","module","Magento_AdminNotification"
"unread)","necitite)","module","Magento_AdminNotification"
"Use HTTPS to Get Feed","Utilizați HTTPS pentru obținerea fluxului de informații","module","Magento_AdminNotification"
"Update Frequency","Actualizați frecvență","module","Magento_AdminNotification"
"Last Update","Ultima actualizare","module","Magento_AdminNotification"
"Severity","Rigurozitate","module","Magento_AdminNotification"
"Date Added","Dată adăugare","module","Magento_AdminNotification"
"Message","Mesaj","module","Magento_AdminNotification"
"Actions","Acțiuni","module","Magento_AdminNotification"
