"You created the order.","Ați plasat comanda.","module","Magento_Authorizenet"
"Order saving error: %1","Eroare salvare comandă: %1","module","Magento_Authorizenet"
"Please choose a payment method.","Alegeți modalitatea de plată.","module","Magento_Authorizenet"
"We can't process your order right now. Please try again later.","Comanda dumneavoastră nu poate fi procesată momentan. Vă rugam, încercați din nou mai târziu.","module","Magento_Authorizenet"
"Cannot place order.","Nu se poate plasa comanda.","module","Magento_Authorizenet"
"Credit Card: xxxx-%1","Card de credit: xxxx-%1","module","Magento_Authorizenet"
"amount %1","cantitate %1","module","Magento_Authorizenet"
"failed.","eșuat.","module","Magento_Authorizenet"
"successful.","reușit.","module","Magento_Authorizenet"
"Authorize.Net Transaction ID %1.","Permiteți.ID tranzacție netă %1.","module","Magento_Authorizenet"
"authorize","permiteți","module","Magento_Authorizenet"
"authorize and capture","permiteți și captați","module","Magento_Authorizenet"
"capture","captați","module","Magento_Authorizenet"
"refund","restituiți","module","Magento_Authorizenet"
"void","gol / nul","module","Magento_Authorizenet"
"Gateway error: %1","Eroare portal: %1","module","Magento_Authorizenet"
"Something went wrong in the payment gateway.","A avut loc o eroare în portalul de plăți.","module","Magento_Authorizenet"
"Invalid amount for capture.","Cantitate nevalidă pentru captură.","module","Magento_Authorizenet"
"Payment capturing error.","Eroare la captarea plății.","module","Magento_Authorizenet"
"Invalid transaction ID.","ID tranzacție nevalid.","module","Magento_Authorizenet"
"Payment voiding error.","Eroare la anularea plății.","module","Magento_Authorizenet"
"Invalid amount for refund.","Cantitate nevalidă pentru restituire.","module","Magento_Authorizenet"
"Payment refunding error.","eroare la restituirea plății.","module","Magento_Authorizenet"
"The transaction was declined because the response hash validation failed.","Tranzacția a fost refuzată deoarece validarea hash a răspunsului a eșuat.","module","Magento_Authorizenet"
"This payment didn't work out because we can't find this order.","Această plată nu a funcționat deoarece comanda nu poate fi gasită.","module","Magento_Authorizenet"
"There was a payment authorization error.","A avut loc o eroare la permisiunea plății.","module","Magento_Authorizenet"
"Please enter a transaction ID to authorize this payment.","Introduceți ID-ul tranzacției pentru a permite această plată.","module","Magento_Authorizenet"
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","a avut loc o eroare: suma plătită nu coincide cu cantitatea comenzii. Corectați și încercați din nou.","module","Magento_Authorizenet"
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Tranzacția %1 a fost aprobată. Suma %2. statusul tranzacției este ""%3""","module","Magento_Authorizenet"
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Tranzacția %1 a fost anulată/refuzată. Statusul tranzacției este ""%2"". Suma %3.","module","Magento_Authorizenet"
"Authorize Only","Doar permiteți","module","Magento_Authorizenet"
"Authorize and Capture","Permiteți și captați","module","Magento_Authorizenet"
"Unable to get transaction details. Try again later.","Imposibil de obținut detaliile tranzacției. încercați din nou mai târziu.","module","Magento_Authorizenet"
"Gateway error: ' .","Gateway error: ' . 'Eroare portal: ' .","module","Magento_Authorizenet"
"Credit Card Type","Tip card de credit","module","Magento_Authorizenet"
"Credit Card Number","Număr card de credit","module","Magento_Authorizenet"
"Expiration Date","Data expirării","module","Magento_Authorizenet"
"Card Verification Number","Număr verificare card","module","Magento_Authorizenet"
"Fraud Detection","Detectare abuz","module","Magento_Authorizenet"
"FDS Filter Action","Acțiune-filtru FDS","module","Magento_Authorizenet"
"AVS Response","Răspuns AVS","module","Magento_Authorizenet"
"Card Code Response","Răspuns cod card","module","Magento_Authorizenet"
"CAVV Response","Răspuns CAVV","module","Magento_Authorizenet"
"Fraud Filters","Filtre abuz","module","Magento_Authorizenet"
"Authorize.net Direct Post","Afișare directă Authorize.net","module","Magento_Authorizenet"
"Enabled","Activat","module","Magento_Authorizenet"
"Payment Action","Acțiune de plată","module","Magento_Authorizenet"
"Title","Titlu","module","Magento_Authorizenet"
"API Login ID","ID conectare API","module","Magento_Authorizenet"
"Transaction Key","Cheie tranzacție","module","Magento_Authorizenet"
"Merchant MD5","MD5 comerciant","module","Magento_Authorizenet"
"New Order Status","Status comandă nouă","module","Magento_Authorizenet"
"Test Mode","Mod test","module","Magento_Authorizenet"
"Gateway URL","URL Gateway","module","Magento_Authorizenet"
"Transaction Details URL","URL detalii tranzacție","module","Magento_Authorizenet"
"Accepted Currency","Monedă acceptată","module","Magento_Authorizenet"
"Debug","Depanare","module","Magento_Authorizenet"
"Email Customer","Trimiteți email clientului","module","Magento_Authorizenet"
"Merchant's Email","Email-ul comerciantului","module","Magento_Authorizenet"
"Credit Card Types","Tipuri card de credit","module","Magento_Authorizenet"
"Credit Card Verification","Verificare card de credit","module","Magento_Authorizenet"
"Payment from Applicable Countries","Plată din țările aplicabile","module","Magento_Authorizenet"
"Payment from Specific Countries","Plată din tări specifice","module","Magento_Authorizenet"
"Minimum Order Total","Total minim comandă","module","Magento_Authorizenet"
"Maximum Order Total","Total maxim comandă","module","Magento_Authorizenet"
"Sort Order","Sortare comandă","module","Magento_Authorizenet"
