"Terms and Conditions","Termeni și Condiții","module","Magento_CheckoutAgreements"
"Add New Condition","Adăugare condiție nouă","module","Magento_CheckoutAgreements"
"Save Condition","Salvați condiție","module","Magento_CheckoutAgreements"
"Delete Condition","ștergeți condiție","module","Magento_CheckoutAgreements"
"Edit Terms and Conditions","Modificați termeni și Condiții","module","Magento_CheckoutAgreements"
"New Terms and Conditions","Termeni și Condiții noi","module","Magento_CheckoutAgreements"
"Terms and Conditions Information","Informații Termeni și Condiții","module","Magento_CheckoutAgreements"
"Condition Name","Nume Condiție","module","Magento_CheckoutAgreements"
"Status","Status","module","Magento_CheckoutAgreements"
"Enabled","Activat","module","Magento_CheckoutAgreements"
"Disabled","Dezactivat","module","Magento_CheckoutAgreements"
"Show Content as","Afișare conținut ca","module","Magento_CheckoutAgreements"
"Text","Text","module","Magento_CheckoutAgreements"
"HTML","HTML","module","Magento_CheckoutAgreements"
"Applied","Aplicat","module","Magento_CheckoutAgreements"
"Store View","Vizualizare magazin","module","Magento_CheckoutAgreements"
"Checkbox Text","Text casetă de selectare","module","Magento_CheckoutAgreements"
"Content","Conținut","module","Magento_CheckoutAgreements"
"Content Height (css)","Mărime conținut (css)","module","Magento_CheckoutAgreements"
"Content Height","Mărime conținut","module","Magento_CheckoutAgreements"
"ID","ID","module","Magento_CheckoutAgreements"
"Condition","Condiție","module","Magento_CheckoutAgreements"
"Sales","Vânzări","module","Magento_CheckoutAgreements"
"Checkout Conditions","Condiții checkout","module","Magento_CheckoutAgreements"
"Checkout Terms and Conditions","Termeni și Condiții Checkout","module","Magento_CheckoutAgreements"
"This condition no longer exists.","Această condiție nu mai există.","module","Magento_CheckoutAgreements"
"You deleted the condition.","Ați șters condiția.","module","Magento_CheckoutAgreements"
"Something went wrong while deleting this condition.","A avut loc o eroare la ștergerea condiției.","module","Magento_CheckoutAgreements"
"Edit Condition","Editare condiție","module","Magento_CheckoutAgreements"
"New Condition","Condiție nouă","module","Magento_CheckoutAgreements"
"You saved the condition.","Ați salvat condiția.","module","Magento_CheckoutAgreements"
"Something went wrong while saving this condition.","A avut loc o eroare la salvarea condiției","module","Magento_CheckoutAgreements"
"Automatically","Automat","module","Magento_CheckoutAgreements"
"Manually","Manual","module","Magento_CheckoutAgreements"
"Please agree to all the terms and conditions before placing the order.","Trebuie să fiți de acord cu termenii și condițiile înainte de a plasa comanda.","module","Magento_CheckoutAgreements"
"Unable to save checkout agreement %1","Nu se poate slva acordul de checkout %1","module","Magento_CheckoutAgreements"
"Unable to remove checkout agreement %1","Nu se poate șterge acordul de checkout %1","module","Magento_CheckoutAgreements"
"Checkout agreement with specified ID ""%1"" not found.","Acordul de checkout cu ID-ul ""%1"" nu este găsit.","module","Magento_CheckoutAgreements"
"Enable Terms and Conditions","Activați Termeni și Condiții","module","Magento_CheckoutAgreements"
