"Add configurable attributes to the current Attribute Set (""%1"")","Adăugați atribute configurabile la setul de atribute curent (""%1"")","module","Magento_ConfigurableProduct"
"Add configurable attributes to the new Attribute Set based on current","Adăugați atribute configurabile la noul setul de atribute bazat pe actualul","module","Magento_ConfigurableProduct"
"New attribute set name","Nume st atribute nou","module","Magento_ConfigurableProduct"
"Add configurable attributes to the existing Attribute Set","Adăugați atribute configurabile la setul de atribute existent","module","Magento_ConfigurableProduct"
"Choose existing Attribute Set","Alegeți set atribute existent","module","Magento_ConfigurableProduct"
"Configurations","Configurații","module","Magento_ConfigurableProduct"
"Attribute Values","Valori atribute","module","Magento_ConfigurableProduct"
"Bulk Images &amp; Price","Imagini colective &amp; Preț","module","Magento_ConfigurableProduct"
"Create New Attribute","Creați atribut nou","module","Magento_ConfigurableProduct"
"Select Attributes","Selectați atribute","module","Magento_ConfigurableProduct"
"Summary","Cuprins","module","Magento_ConfigurableProduct"
"Choose an Option...","Alegeți o opțiune...","module","Magento_ConfigurableProduct"
"This attribute is used in configurable products.","Acest atribut este folosit la produsele configurabile.","module","Magento_ConfigurableProduct"
"Product has been already attached","Produsul a fost deja atașat","module","Magento_ConfigurableProduct"
"Product with specified sku: %1 is not a configurable product","Produsul cu unitatea de înmagazinare: %1 nu este un produs configurabil","module","Magento_ConfigurableProduct"
"Requested option doesn't exist","Opțiunea solicitată nu există","module","Magento_ConfigurableProduct"
"Requested option doesn't exist: %1","Opțiunea solicitată nu există: %1","module","Magento_ConfigurableProduct"
"Cannot delete variations from product: %1","Nu se pot șterge variațiile produsului: %1","module","Magento_ConfigurableProduct"
"Cannot delete option with id: %1","Nu se poate șterge opțiunea cu id-ul: %1","module","Magento_ConfigurableProduct"
"Option with id ""%1"" not found","Opțiunea cu id-ul ""%1"" nu a fost găsită","module","Magento_ConfigurableProduct"
"Could not update option with id ""%1""","Nu se poate actualiza opțiunea cu id-ul ""%1""","module","Magento_ConfigurableProduct"
"Product already has this option","Produsul are deja această opțiune","module","Magento_ConfigurableProduct"
"Something went wrong while saving option.","A avut loc o eroare la salvarea opțiunii.","module","Magento_ConfigurableProduct"
"Only implemented for configurable product: %1","Implementat numai pentru produse configurabile: %1","module","Magento_ConfigurableProduct"
"Option attribute ID is not specified.","ID atribut opțiune nespecificat.","module","Magento_ConfigurableProduct"
"Option label is not specified.","Etichetă opțiune nespecificată.","module","Magento_ConfigurableProduct"
"Option values are not specified.","Valori opțiune nespecificate.","module","Magento_ConfigurableProduct"
"Value index is not specified for an option.","Indexul de valoare nu este specificat pentru o opțiune.","module","Magento_ConfigurableProduct"
"The configurable product does not have any variation attribute.","Produsul configurabil nu are nici un atribut de variație.","module","Magento_ConfigurableProduct"
"Product with id ""%1"" does not exist.","Produsul cu id-ul ""%1"" nu există.","module","Magento_ConfigurableProduct"
"Product with id ""%1"" does not contain required attribute ""%2"".","Produsul cu id-ul ""%1"" nu conține atributul necesar ""%2"".","module","Magento_ConfigurableProduct"
"Products ""%1"" and %2 have the same set of attribute values.","Produsele ""%1"" și %2 au același set de valori atribut.","module","Magento_ConfigurableProduct"
"You can't add the item to shopping cart.","Nu puteți adăuga articolul la coșul de cumpărături.","module","Magento_ConfigurableProduct"
"You need to choose options for your item.","Trebuie să alegeți o opțiune pentru articolul dimneavoastră.","module","Magento_ConfigurableProduct"
"Some product variations fields are not valid.","Unele câmpuri de variații ale produsului nu sunt valide.","module","Magento_ConfigurableProduct"
"Configuration must have specified attributes","Configurația trebuie să aibă atribute specificate","module","Magento_ConfigurableProduct"
"Configurable product ""%1"" do not have sub-products","Produsul configurabil ""%1"" nu are produse derivate.","module","Magento_ConfigurableProduct"
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Acest grup conține atribute folosite la produse configurabile. Mutați aceste atribute în alt grup și încercați din nou.","module","Magento_ConfigurableProduct"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Acest atribut este folosit la produse configurabile. Nu îl puteți șterge din setul de atribute.","module","Magento_ConfigurableProduct"
"Associated Products","Produse asociate","module","Magento_ConfigurableProduct"
"Step 2: Attribute Values","Pasul 2: Valori atribute","module","Magento_ConfigurableProduct"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Selectați valori de la fiecare atribut pentru a le include la acest produs. Fiecare combinație unică de valori creează o unitate de înmagazinare produs unică.","module","Magento_ConfigurableProduct"
"Sort Variations","Sortare variații","module","Magento_ConfigurableProduct"
"Options","Opțiuni","module","Magento_ConfigurableProduct"
"Select All","Selectare toate","module","Magento_ConfigurableProduct"
"Deselect All","Deselectare toate","module","Magento_ConfigurableProduct"
"Remove Attribute","ștergeți atribut","module","Magento_ConfigurableProduct"
"Save Option","Salvați opțiune","module","Magento_ConfigurableProduct"
"Remove Option","ștergeți opțiune","module","Magento_ConfigurableProduct"
"Create New Value","Creați valoare nouă","module","Magento_ConfigurableProduct"
"Step 3: Bulk Images, Price, and Quantity","Pasul 3: Imagini colective, Preț și Cantitate","module","Magento_ConfigurableProduct"
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
  new products will be created. Use this step to customize images and price for your new products.","Bazat pe selecțiile dumneavoastră <span class=""new-products-count"" data-bind=""text:countVariations""></span>
  noi produse vor fi create. Folosiți acest pas pentru a personaliza imaginile și prețul pentru noile produse.","module","Magento_ConfigurableProduct"
"Images","Imagini","module","Magento_ConfigurableProduct"
"Apply single set of images to all SKUs","Aplicați un singur set de imagini la toate unitățile de înmagazinare","module","Magento_ConfigurableProduct"
"Apply unique images by attribute to each SKU","Aplicați imagini unice prin atribut pentru fiecare unitate de înmagazinare","module","Magento_ConfigurableProduct"
"Skip image uploading at this time","Omiteți încărcarea imaginii în acest moment","module","Magento_ConfigurableProduct"
"Browse Files...","Răsfoire fișiere...","module","Magento_ConfigurableProduct"
