"Invalid domain name: ' .","Nume domeniu nevalid: ' .","module","Magento_Cookie"
"Invalid cookie lifetime: ' .","Termen cookie nevalid: ' .","module","Magento_Cookie"
"Invalid cookie path","Cale cookie nevalidă","module","Magento_Cookie"
"We use cookies to make your experience better.","Utilizăm cookies pentru ca dumneavostră să aveți o experiență cât mai plăcută.","module","Magento_Cookie"
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Pentru a ne conforma noii directive e-Privacy, trebuie să primim acordul dumneavosatră pentru a seta cookie-urile.","module","Magento_Cookie"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Află mai multe</a>.","module","Magento_Cookie"
"Allow Cookies","Permite cookie-uri","module","Magento_Cookie"
"Default Cookie Settings","Setări cookie implicite","module","Magento_Cookie"
"Cookie Lifetime","Termen Cookie","module","Magento_Cookie"
"Cookie Path","Cale Cookie","module","Magento_Cookie"
"Cookie Domain","Domeniu Cookie","module","Magento_Cookie"
"Use HTTP Only","Utilizați doar HTTP","module","Magento_Cookie"
"Cookie Restriction Mode","Mod Restricție Cookie","module","Magento_Cookie"
