"Save Currency Rates","Salvați curs valutar","module","Magento_CurrencySymbol"
"Reset","Resetați","module","Magento_CurrencySymbol"
"Import","Importați","module","Magento_CurrencySymbol"
"Manage Currency Rates","Gestionați curs valutar","module","Magento_CurrencySymbol"
"Import Service","Servicii de import","module","Magento_CurrencySymbol"
"Save Currency Symbols","Salvați simboluri valută","module","Magento_CurrencySymbol"
"Currency Symbols","Simboluri valută","module","Magento_CurrencySymbol"
"Use Standard","Folosiți ca implicit","module","Magento_CurrencySymbol"
"Please specify a correct Import Service.","Specificați un serviciu de import corect.","module","Magento_CurrencySymbol"
"We can't initialize the import model.","Nu se poate inițializa modelul de import.","module","Magento_CurrencySymbol"
"Click ""Save"" to apply the rates we found.","Faceți click pe ""Salvează"" pentru a pune în aplicare cursul găsit.","module","Magento_CurrencySymbol"
"Currency Rates","Curs valutar","module","Magento_CurrencySymbol"
"Please correct the input data for %1 => %2 rate","Corectați informațiile input pentru cursul %1 => %2","module","Magento_CurrencySymbol"
"All valid rates have been saved.","Toate cursurile valide au fost salvate.","module","Magento_CurrencySymbol"
"System","Sistem","module","Magento_CurrencySymbol"
"You applied the custom currency symbols.","Ați aplicat cursurile de valută personalizate.","module","Magento_CurrencySymbol"
"Old rate:","Curs vechi","module","Magento_CurrencySymbol"
