"Please specify a website.","Specificați un website.","module","Magento_CustomerImportExport"
"Please specify an email.","Specificați o adresă email.","module","Magento_CustomerImportExport"
"We found an invalid value in a website column.","S-a găsit o valoare nevalidă într-o coloană a website-ului","module","Magento_CustomerImportExport"
"Please enter a valid email.","Introduceți o adresă email validă.","module","Magento_CustomerImportExport"
"Please make sure attribute ""%s"" is not empty.","Asigurați-vă că atributul ""%s"" nu este gol.","module","Magento_CustomerImportExport"
"We can't find a customer who matches this email and website code.","Nu se poate găsi un client cu acest email și cod de website.","module","Magento_CustomerImportExport"
"Customer address id column is not specified","Coloana ID adresă client nu este specificată.","module","Magento_CustomerImportExport"
"We can't find that customer address.","Nu se poate găsi adresa clientului.","module","Magento_CustomerImportExport"
"Please enter a valid region.","Introduceți o regiune validă.","module","Magento_CustomerImportExport"
"We found another row with this email, website and address ID combination.","S-a găsit un alt rând cu această combinație de email, website și ID adresă.","module","Magento_CustomerImportExport"
"This email is found more than once in the import file.","Acest email se regăsește de mai multe ori în fișierul importat.","module","Magento_CustomerImportExport"
"Orphan rows that will be skipped due default row errors","Rânduri goale care vor fi omise din cauza erorilor de rând implicite","module","Magento_CustomerImportExport"
"Invalid value in Store column (store does not exists?)","Valoare nevalidă în coloana magazinului (nu există magazinul?)","module","Magento_CustomerImportExport"
"We can't find that email and website combination.","Nu se poate găsi această combinație de email și website.","module","Magento_CustomerImportExport"
"Please enter a password with a valid length.","Introduceți o parolă cu o lungime validă.","module","Magento_CustomerImportExport"
"CSV","CSV","module","Magento_CustomerImportExport"
"Excel XML","XML Excel","module","Magento_CustomerImportExport"
