"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Selectați pentru a permite curierului DHL optimizarea taxelor de livrare prin împățirea comenzii dacă aceasta depășește %1 %2.","module","Magento_Dhl"
"Wrong Content Type","Tip conținut greșit","module","Magento_Dhl"
"Pounds","Livre","module","Magento_Dhl"
"Kilograms","Kilograme","module","Magento_Dhl"
"Inches","Inci","module","Magento_Dhl"
"Centimeters","Centimetri","module","Magento_Dhl"
"inch","Inch","module","Magento_Dhl"
"cm","cm","module","Magento_Dhl"
"Height","înălțime","module","Magento_Dhl"
"Depth","Adâncime","module","Magento_Dhl"
"Width","Lățime","module","Magento_Dhl"
"Regular","Normal","module","Magento_Dhl"
"Specific","Specific","module","Magento_Dhl"
"ort","Cumpărături facile","module","Magento_Dhl"
"Sprintline","Sprintline","module","Magento_Dhl"
"Secureline","Secureline","module","Magento_Dhl"
"Express easy","Cupărături facile expres","module","Magento_Dhl"
"Europack","Europack","module","Magento_Dhl"
"Break bulk express","Produse vrac expres","module","Magento_Dhl"
"Medical express","Produse medicale expres","module","Magento_Dhl"
"Express worldwide","Expres la nivel global","module","Magento_Dhl"
"Express 9:00","Expres la ora 9:00","module","Magento_Dhl"
"Express 10:30","Expres la ora 10:30","module","Magento_Dhl"
"Domestic economy select","Selectare economie internă","module","Magento_Dhl"
"Economy select","Selectare economie","module","Magento_Dhl"
"Break bulk economy","Economie produse vrac","module","Magento_Dhl"
"Domestic express","Express intern","module","Magento_Dhl"
"Others","Altele","module","Magento_Dhl"
"Globalmail business","Afacere Globalmail","module","Magento_Dhl"
"Same day","în aceeași zi","module","Magento_Dhl"
"Express 12:00","Expres la ora 12:00","module","Magento_Dhl"
"Express envelope","Plic expres","module","Magento_Dhl"
"Customer services","Servicii clienți","module","Magento_Dhl"
"Jetline","Jetline","module","Magento_Dhl"
"Freight worldwide","Transport la nivel global","module","Magento_Dhl"
"Jumbo box","Cutie mare","module","Magento_Dhl"
"DHL service is not available at %s date","Serviciul DHL nu este disponibil la data %s","module","Magento_Dhl"
"The response is in wrong format.","Răspunsul este într-un format greșit","module","Magento_Dhl"
"Error #%1 : %2","Eroare #%1 : %2","module","Magento_Dhl"
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","A trebuit să omitem modalitatea DHL %1 deoarece nu s-a găsit cursul valutar %2 (Monedă de bază).","module","Magento_Dhl"
"Zero shipping charge for '%1'","Zero taxe de livrare pentru '%1'","module","Magento_Dhl"
"DHL","DHL","module","Magento_Dhl"
"Cannot identify measure unit for %1","Nu se poate identifica unitatea de măsură pentru %1","module","Magento_Dhl"
"Cannot identify weight unit for %1","Nu se poate identifica unitatea de greutate pentru %1","module","Magento_Dhl"
"There is no items in this order","Nu sunt articole în această comandă","module","Magento_Dhl"
"Please, specify origin country","Specificați țara de origine","module","Magento_Dhl"
"Documents","Documente","module","Magento_Dhl"
"Non Documents","Non documente","module","Magento_Dhl"
"Height, width and length should be equal or greater than %1","înălțimea, lățimea și lungimea trebuie să fie egale cu sau mai mari de %1","module","Magento_Dhl"
"Wrong Region","Regiune greșită","module","Magento_Dhl"
"Unable to retrieve tracking","Imposibil de obținut urmărirea comenzii","module","Magento_Dhl"
"Response is in the wrong format","Răspunsul este într-un format greșit","module","Magento_Dhl"
"No packages for request","Nici un colet pentru solicitare","module","Magento_Dhl"
"Unable to retrieve shipping label","Imposibil de obținut eticheta de livrare","module","Magento_Dhl"
"Non documents","Non documente","module","Magento_Dhl"
"None","Nici unul","module","Magento_Dhl"
"Enabled for Checkout","Activat pentru Checkout","module","Magento_Dhl"
"Gateway URL","URL Gateway","module","Magento_Dhl"
"Title","Titlu","module","Magento_Dhl"
"Access ID","ID de acces","module","Magento_Dhl"
"Password","Parolă","module","Magento_Dhl"
"Account Number","Număr cont","module","Magento_Dhl"
"Content Type","Tip conținut","module","Magento_Dhl"
"Calculate Handling Fee","Calculați taxa de manipulare","module","Magento_Dhl"
"Handling Applied","Manipulare aplicată","module","Magento_Dhl"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Pe comandă"" acceptă o singură taxă de manipulare pentru întreaga comandă. ""Pe colet"" acceptă o taxă de manipulare individuală pentru fiecare colet.","module","Magento_Dhl"
"Handling Fee","Taxă de manipulare","module","Magento_Dhl"
"Divide Order Weight","Divizați greutatea comenzii","module","Magento_Dhl"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Selectați această opțiune pentru a permite DHL să optimizeze taxele de livrare prin divizarea comenzii dacă aceasta depășește 70 kg.","module","Magento_Dhl"
"Weight Unit","Unitate de greutate","module","Magento_Dhl"
"Size","Mărime","module","Magento_Dhl"
"Allowed Methods","Modalități acceptate","module","Magento_Dhl"
"Displayed Error Message","Mesaj de eroare afișat","module","Magento_Dhl"
"Free Method","Modalitate opțională","module","Magento_Dhl"
"Free Shipping Amount Threshold","Prag sumă livrare gratuită","module","Magento_Dhl"
"Ship to Applicable Countries","Livrare în tări aplicabile","module","Magento_Dhl"
"Ship to Specific Countries","Livrare în țări specifice","module","Magento_Dhl"
"Show Method if Not Applicable","Afișați modalitate dacă nu este aplicabilă","module","Magento_Dhl"
"Sort Order","Sortați comanda","module","Magento_Dhl"
"Debug","Depanare","module","Magento_Dhl"
