"Downloadable Information","Informații","module","Magento_Downloadable"
"Add New Link","Adăugați link nou","module","Magento_Downloadable"
"Upload Files","încărcați fișiere","module","Magento_Downloadable"
"All Files","Toate fișierele","module","Magento_Downloadable"
"Unlimited","Nelimitat","module","Magento_Downloadable"
"Something went wrong while getting the requested content.","A avut loc o eroare la obținerea conținutului solicitat.","module","Magento_Downloadable"
"My Downloadable Products","Produsele mele descărcabile","module","Magento_Downloadable"
"We can't find the link you requested.","Nu se poate găsi link-ul solicitat.","module","Magento_Downloadable"
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Conectați-vă pentru a vă descărca produsul sau achiziționați <a href=""%1"">%2</a>.","module","Magento_Downloadable"
"Please sign in to download your product.","Conectați-vă pentru a vă descărca produsul.","module","Magento_Downloadable"
"The link has expired.","Linkul a expirat.","module","Magento_Downloadable"
"The link is not available.","Acest link nu este disponibil.","module","Magento_Downloadable"
"Sorry, there was an error getting requested content. Please contact the store owner.","A apărut o eroare la obținerea conținutului solicitat. Contactați proprietarul magazinului.","module","Magento_Downloadable"
"Please set resource file and link type.","Setați fișierul de resurse și tipul linkului.","module","Magento_Downloadable"
"Invalid download link type.","Tip link descărcare nevalid.","module","Magento_Downloadable"
"Something went wrong while saving the file(s).","A avut loc o eroare la salvarea fișierelor.","module","Magento_Downloadable"
"Provided content must be valid base64 encoded data.","Conținutul furnizat trebuie să fie date codate base64 valide.","module","Magento_Downloadable"
"Provided file name contains forbidden characters.","Numele fișierului furnizat conține caractere interzise.","module","Magento_Downloadable"
"Link price must have numeric positive value.","Prețul link-ului trebuie să aibă valoare numerică pozitivă.","module","Magento_Downloadable"
"Number of downloads must be a positive integer.","Numărul descărcărilor trebuie să fie o unitate pozitivă.","module","Magento_Downloadable"
"Sort order must be a positive integer.","Sortați comanda trebuie să fie o unitate pozitivă.","module","Magento_Downloadable"
"Link URL must have valid format.","Link-ul URL trebuie să aibă un format valid.","module","Magento_Downloadable"
"Provided file content must be valid base64 encoded data.","Conținutul fișierului furnizat trebuie să fie date codate base64 valide.","module","Magento_Downloadable"
"Sample URL must have valid format.","Specimenul URL trebuie să aibă un format valid.","module","Magento_Downloadable"
"Order id cannot be null","ID-ul comenzii nu poate fi nul.","module","Magento_Downloadable"
"Order item id cannot be null","ID-ul articolului comandat nu poate fi nul.","module","Magento_Downloadable"
"Product type of the product must be 'downloadable'.","Tipul produsului trebuie să fie 'descărcabil'.","module","Magento_Downloadable"
"Provided link information is invalid.","Informația link furnizată nu este validă.","module","Magento_Downloadable"
"Invalid link type.","Tip link nevalid.","module","Magento_Downloadable"
"Link title cannot be empty.","Link-ul titlului nu poate rămâne gol.","module","Magento_Downloadable"
"There is no downloadable link with provided ID.","Nu există un link descărcabil pentru ID-ul furnizat.","module","Magento_Downloadable"
"Provided downloadable link is not related to given product.","Link-ul descăcabil furnizat nu este asociat cu produsul dat.","module","Magento_Downloadable"
"Please specify product link(s).","Specificați lik-ul(urile) produsului.","module","Magento_Downloadable"
"Provided sample information is invalid.","Specimenul informației furnizate nu este valid.","module","Magento_Downloadable"
"Invalid sample type.","Tip specimen nevalid.","module","Magento_Downloadable"
"Sample title cannot be empty.","Titlul specimenului nu poate rămâne gol.","module","Magento_Downloadable"
"There is no downloadable sample with provided ID.","Nu există un specimen descărcabil ci Id-ul furnizat.","module","Magento_Downloadable"
"Provided downloadable sample is not related to given product.","Specimenul descărcabil furnizat nu este asociat cu produsul dat.","module","Magento_Downloadable"
"attachment","atașament","module","Magento_Downloadable"
"inline","în linie","module","Magento_Downloadable"
"Pending","în așteptare","module","Magento_Downloadable"
"Invoiced","Facturat","module","Magento_Downloadable"
"sample","specimen","module","Magento_Downloadable"
"Is this downloadable Product?","Este acesta un produs descărcabil?","module","Magento_Downloadable"
"Links","Link-uri","module","Magento_Downloadable"
"Add links to your product files here.","Adăugați link-uri la fișierele produselor tale aici.","module","Magento_Downloadable"
"[STORE VIEW]","[VIZUALIZARE MAGAZIN]","module","Magento_Downloadable"
"Title","Titlu","module","Magento_Downloadable"
"Use Default Value","Folosiți valoare implicită","module","Magento_Downloadable"
"[GLOBAL]","[GLOBAL]","module","Magento_Downloadable"
"Links can be purchased separately","Link-urile pot fi achiziționate separat","module","Magento_Downloadable"
"Sort Order","Sortați comandă","module","Magento_Downloadable"
"Price","Preț","module","Magento_Downloadable"
"Attach File or Enter Link","Atașați fișier sau Introdu link","module","Magento_Downloadable"
"Sample","Specimen","module","Magento_Downloadable"
"Shareable","Partajabil","module","Magento_Downloadable"
"Max. Downloads","Maximum de descărcări","module","Magento_Downloadable"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Caracterele alfanumerice, cratima sau underscore sunt recomandate pentru numele de fișiere. Caracterele nepotrivite vor fi inlocuite cu '_'.","module","Magento_Downloadable"
"Sort Variations","Sortați variații","module","Magento_Downloadable"
"File","Fișier","module","Magento_Downloadable"
"Browse Files...","Răsfoiți fișiere...","module","Magento_Downloadable"
"URL","URL","module","Magento_Downloadable"
"Yes","Da","module","Magento_Downloadable"
"No","Nu","module","Magento_Downloadable"
"Use config","Folosiți configurație","module","Magento_Downloadable"
"Delete","ștergeți","module","Magento_Downloadable"
"Samples","Specimene","module","Magento_Downloadable"
"Add product preview files here.","Adăugați fișiere de previzualizare produs aici.","module","Magento_Downloadable"
"SKU","Unitate de înmagazinare","module","Magento_Downloadable"
"U","U","module","Magento_Downloadable"
"Select all","Selectați toate","module","Magento_Downloadable"
"Unselect all","Deselectați toate","module","Magento_Downloadable"
"Availability","Disponibilitate","module","Magento_Downloadable"
"In stock","în stoc","module","Magento_Downloadable"
"Out of stock","Epuizat din stoc","module","Magento_Downloadable"
"Go to <a href=""%1"">My Downloadable Products</a>","Mergeți la <a href=""%1"">Produsele mele descărcabile</a>","module","Magento_Downloadable"
"Downloadable Products","Produse descărcabile","module","Magento_Downloadable"
"Order #","Comanda #","module","Magento_Downloadable"
"Date","Dată","module","Magento_Downloadable"
"Status","Status","module","Magento_Downloadable"
"Remaining Downloads","Descărcări rămase","module","Magento_Downloadable"
"View Order","Vizualizare comandă","module","Magento_Downloadable"
"Start Download","începeți descărcarea","module","Magento_Downloadable"
"You have not purchased any downloadable products yet.","Nu ați achiziționat nici un produs descărcabil încă.","module","Magento_Downloadable"
"Back","înapoi","module","Magento_Downloadable"
"download","descărcați","module","Magento_Downloadable"
"Gift Message","Mesaj cadou","module","Magento_Downloadable"
"From:","De la:","module","Magento_Downloadable"
"To:","Către:","module","Magento_Downloadable"
"Message:","Mesaj:","module","Magento_Downloadable"
"Product Name","Nume produs","module","Magento_Downloadable"
"Qty","Cantitate","module","Magento_Downloadable"
"Subtotal","Subtotal","module","Magento_Downloadable"
"Discount Amount","Sumă reducere","module","Magento_Downloadable"
"Row Total","Total rând","module","Magento_Downloadable"
"Qty Invoiced","Cantitate facturată","module","Magento_Downloadable"
"Ordered","Comandat","module","Magento_Downloadable"
"Shipped","Livrat","module","Magento_Downloadable"
"#VALUE!","Anulat","module","Magento_Downloadable"
"Refunded","Restituit","module","Magento_Downloadable"
"We could not detect a size.","Nu s-a putut detecta o mărime.","module","Magento_Downloadable"
"Downloadable Product Options","Opțiuni produs descărcabile","module","Magento_Downloadable"
"Order Item Status to Enable Downloads","Status articol comandă pentru activarea descărărilor","module","Magento_Downloadable"
"Default Maximum Number of Downloads","Număr maxim implicit de descărcări","module","Magento_Downloadable"
"Default Sample Title","Mostră titlu implicită","module","Magento_Downloadable"
"Default Link Title","Link titlu implicit","module","Magento_Downloadable"
"Open Links in New Window","Deschidere link-uri în Fereastră nouă","module","Magento_Downloadable"
"Use Content-Disposition","Utilizare Dispunere-conținut","module","Magento_Downloadable"
"Disable Guest Checkout if Cart Contains Downloadable Items","Dezactivați checkout vizitator dacă coșul conține articole descărcabile","module","Magento_Downloadable"
"Guest checkout will only work with shareable.","Checkout vizitator va funcționa numai cu partajabile","module","Magento_Downloadable"
