"Add New Template","Adăugați șablon nou","module","Magento_Email"
"Transactional Emails","Email-uri tranzacționale","module","Magento_Email"
"Back","înapoi","module","Magento_Email"
"Reset","Resetați","module","Magento_Email"
"Delete Template","ștergeți șablon","module","Magento_Email"
"Convert to Plain Text","Convertește în text simplu","module","Magento_Email"
"Return Html Version","întoarceți-vă la versiunea Html","module","Magento_Email"
"Preview Template","Previzualizare șablon","module","Magento_Email"
"Save Template","Salvați șablon","module","Magento_Email"
"Load Template","încărcați șablon","module","Magento_Email"
"Edit Email Template","Modificați șablon Email","module","Magento_Email"
"New Email Template","șablon Email nou","module","Magento_Email"
"Default Config","Configurație implicită","module","Magento_Email"
"Template Information","Informații șablon","module","Magento_Email"
"Currently Used For","Folosit în prezent pentru","module","Magento_Email"
"Template Name","Nume șablon","module","Magento_Email"
"Template Subject","Subiect șablon","module","Magento_Email"
"Insert Variable...","Introdu variabilă…","module","Magento_Email"
"Template Content","Conținut șablon","module","Magento_Email"
"Template Styles","Stiluri șablon","module","Magento_Email"
"Preview","Previzualizare","module","Magento_Email"
"Unknown","Necunoscut","module","Magento_Email"
"You deleted the email template.","Ați șters șablonul email","module","Magento_Email"
"The email template is currently being used.","șablonul email este folosit în acest moment.","module","Magento_Email"
"We can't delete email template data right now. Please review log and try again.","Momentan, informațiile șablonului email nu pot fi șterse. Verificați jurnalele și încercați din nou.","module","Magento_Email"
"We can't find an email template to delete.","Nu se găsește nici un șablon email de șters.","module","Magento_Email"
"Edit Template","Modificați șablon","module","Magento_Email"
"Edit System Template","Modificați șablon sistem","module","Magento_Email"
"New Template","șablon nou","module","Magento_Email"
"New System Template","șablon sistem nou","module","Magento_Email"
"Email Templates","șablon Email","module","Magento_Email"
"Email Preview","Previzualizare Email","module","Magento_Email"
"An error occurred. The email template can not be opened for preview.","A avut loc o eroare. șablonul Email nu poate fi deschis pentru previzualizare.","module","Magento_Email"
"This email template no longer exists.","Acest șablon email nu mai există.","module","Magento_Email"
"You saved the email template.","Ați salvat șablonul email.","module","Magento_Email"
"Area is already set","Arie deja setată","module","Magento_Email"
"Design config must have area and store.","Configurația de design trebuie să aibă arie și magazin.","module","Magento_Email"
"Base Unsecure URL","URL de bază nesigur","module","Magento_Email"
"Base Secure URL","URL de bază sigur","module","Magento_Email"
"General Contact Name","Nume contact general","module","Magento_Email"
"General Contact Email","Email contact general","module","Magento_Email"
"Sales Representative Contact Name","Nume contact reprezentant vânzări","module","Magento_Email"
"Sales Representative Contact Email","Email contact reprezentant vânzări","module","Magento_Email"
"Custom1 Contact Name","Nume contact Personalizat1","module","Magento_Email"
"Custom1 Contact Email","Email contact Personalizat1","module","Magento_Email"
"Custom2 Contact Name","Nume contact Personalizat2","module","Magento_Email"
"Custom2 Contact Email","Email contact Personalizat2","module","Magento_Email"
"Store Name","Nume magazin","module","Magento_Email"
"Store Phone Number","Număr de telefon magazin","module","Magento_Email"
"Store Hours","Orar magazin","module","Magento_Email"
"Country","Tara","module","Magento_Email"
"Region/State","Regiune/zonă","module","Magento_Email"
"Zip/Postal Code","Cod poștal","module","Magento_Email"
"City","Oraș","module","Magento_Email"
"Street Address 1","Adresă stradă 1","module","Magento_Email"
"Street Address 2","Adresă stradă 2","module","Magento_Email"
"Store Contact Information","Informații contact magazin","module","Magento_Email"
"1%","1%","module","Magento_Email"
"Template Variables","Variabile șablon","module","Magento_Email"
"Please enter a template name.","Introduceți un nume de șablon.","module","Magento_Email"
"Duplicate Of Template Name","Duplicat nume șablon","module","Magento_Email"
"Invalid transactional email code: %1","Cod email tranzacțional: %1","module","Magento_Email"
"Requested invalid store ""%1""","Magazin solicitat nevalid ""%1""","module","Magento_Email"
"""file"" parameter must be specified","Parametrul ""fișier"" trebuie specificat","module","Magento_Email"
"Contents of %s could not be loaded or is empty","Conținutul %s nu poate fi încărcat sau este gol","module","Magento_Email"
"""file"" parameter must be specified and must not be empty","Parametrul ""fișier"" trebuie specificat și nu poate fi gol","module","Magento_Email"
"Design params must be set before calling this method","Parametri de design trebuie setați înainte înainte de acționarea acestei metode.","module","Magento_Email"
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>","module","Magento_Email"
"CSS inlining error:","Eroare instalare CSS:","module","Magento_Email"
"Error filtering template: %s","Eroare filtrare șablon: %s","module","Magento_Email"
"We're sorry, an error has occurred while generating this email.","Ne pare rău, a avut loc o eroare la generarea acestui email.","module","Magento_Email"
"Invalid sender data","Informații expeditor nevalide","module","Magento_Email"
"Title","Titlu","module","Magento_Email"
"Load default template","încărcați șablon implicit","module","Magento_Email"
"Template","șablon","module","Magento_Email"
"Are you sure you want to strip tags?","Sunteți sigur că doriți să scoateți etichetele?","module","Magento_Email"
"Are you sure you want to delete this template?","Sunteți sigur că doriți să ștergeți acest șablon?","module","Magento_Email"
"The template did not load. Please review the log for details.","șablonul nu s-a încărcat. Verificați jurnalele pentru detalii.","module","Magento_Email"
"Thank you, %store_name","Vă mulțumim, %store_name","module","Magento_Email"
"Emails","Email-uri","module","Magento_Email"
"Logo Image","Imagine logo","module","Magento_Email"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Tipuri fișiere acceptate: jpg, jpeg, gif, png. Pentru optimizarea afișării logo-ului la înaltă rezoluție , încărcați o imagine care este de 3x mai mare decât mărimea normală și apoi specificați 1x dimensiunile în câmpurile de lățime/înălțime de mai jos.","module","Magento_Email"
"Logo Image Alt","Alt imagine logo","module","Magento_Email"
"Logo Width","Lățime logo","module","Magento_Email"
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Necesar numai dacă imaginea a fost încărcată mai sus. Introduceți numărul de pixeli, fără adăugarea ""px"".","module","Magento_Email"
"Logo Height","Logo Height","module","Magento_Email"
"Header Template","șablon antet","module","Magento_Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată.","module","Magento_Email"
"Footer Template","șablon subsol","module","Magento_Email"
"No Templates Found","nici un șablon găsit","module","Magento_Email"
"ID","ID","module","Magento_Email"
"Added","Adăugat","module","Magento_Email"
"Updated","Actualizat","module","Magento_Email"
"Subject","Subiect","module","Magento_Email"
"Template Type","Tip șablon","module","Magento_Email"
"Action","Acțiune","module","Magento_Email"
