"Europe First Priority","Europe First Priority","module","Magento_Fedex"
"1 Day Freight","Transport 1 zi","module","Magento_Fedex"
"2 Day Freight","Transport 2 zile","module","Magento_Fedex"
"2 Day","2 zile","module","Magento_Fedex"
"2 Day AM","2 zile AM","module","Magento_Fedex"
"3 Day Freight","Transport 3 zile","module","Magento_Fedex"
"Express Saver","Rezervare expres","module","Magento_Fedex"
"Ground","Bază","module","Magento_Fedex"
"First Overnight","A doua zi","module","Magento_Fedex"
"Home Delivery","Livrare la domiciliu","module","Magento_Fedex"
"International Economy","Economie internațională","module","Magento_Fedex"
"Intl Economy Freight","Transport economie internațională","module","Magento_Fedex"
"International First","Prim internațional","module","Magento_Fedex"
"International Ground","Bază internațională","module","Magento_Fedex"
"International Priority","Prioritate internațională","module","Magento_Fedex"
"Intl Priority Freight","Transport prioritate internațională","module","Magento_Fedex"
"Priority Overnight","Prioritate a doua zi","module","Magento_Fedex"
"Smart Post","Mesaj inteligent","module","Magento_Fedex"
"Standard Overnight","A doua zi standard","module","Magento_Fedex"
"Freight","Transport","module","Magento_Fedex"
"National Freight","Transport național","module","Magento_Fedex"
"Regular Pickup","Colectare standard","module","Magento_Fedex"
"Request Courier","Solicitați curier","module","Magento_Fedex"
"Drop Box","Drop Box","module","Magento_Fedex"
"Business Service Center","Centru servicii afaceri","module","Magento_Fedex"
"Station","Centru","module","Magento_Fedex"
"FedEx Envelope","Plic FedEx","module","Magento_Fedex"
"FedEx Pak","FedEx Pak","module","Magento_Fedex"
"FedEx Box","Cutie FedEx","module","Magento_Fedex"
"FedEx Tube","FedEx Tube","module","Magento_Fedex"
"FedEx 10kg Box","Cutie FedEx 10kg","module","Magento_Fedex"
"FedEx 25kg Box","Cutie FedEx 25kg","module","Magento_Fedex"
"Your Packaging","împachetarea dumneavoastră","module","Magento_Fedex"
"Not Required","Nu se cere","module","Magento_Fedex"
"Adult","Adult","module","Magento_Fedex"
"Direct","Direct","module","Magento_Fedex"
"Indirect","Indirect","module","Magento_Fedex"
"Pounds","Livre","module","Magento_Fedex"
"Kilograms","Kilograme","module","Magento_Fedex"
"For some reason we can't retrieve tracking info right now.","Din anumite motive nu vă putem da informații de urmărire a comenzii în acest moment.","module","Magento_Fedex"
"status","status","module","Magento_Fedex"
"Empty response","Răspuns gol","module","Magento_Fedex"
"None","Nici unul","module","Magento_Fedex"
"FedEx","FedEx","module","Magento_Fedex"
"Enabled for Checkout","Activat pentru Checkout","module","Magento_Fedex"
"Title","Titlu","module","Magento_Fedex"
"Account ID","ID cont","module","Magento_Fedex"
"Please make sure to use only digits here. No dashes are allowed.","Asigurați-vă că utilizați numai cifre aici. Liniuțele nu sunt acceptate.","module","Magento_Fedex"
"Meter Number","Număr contor","module","Magento_Fedex"
"Key","Cheie","module","Magento_Fedex"
"Password","Parolă","module","Magento_Fedex"
"Sandbox Mode","Mod Sandbox","module","Magento_Fedex"
"Web-Services URL (Production)","URL Servicii Web (Producție)","module","Magento_Fedex"
"Web-Services URL (Sandbox)","URL Servicii Web (Sandbox)","module","Magento_Fedex"
"Packages Request Type","Tip solicitare colete","module","Magento_Fedex"
"Packaging","Ambalare","module","Magento_Fedex"
"Dropoff","Scădere","module","Magento_Fedex"
"Weight Unit","Unitate de greutate","module","Magento_Fedex"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Greutate maximă colet (Consultați-vă cu trasportatorul de livrare pentru greutatea de livrare maximă admisă)","module","Magento_Fedex"
"Calculate Handling Fee","Calculați taxă manipulare","module","Magento_Fedex"
"Handling Applied","Manipulare aplicată","module","Magento_Fedex"
"Handling Fee","Taxă manipulare","module","Magento_Fedex"
"Residential Delivery","Livrare rezidențială","module","Magento_Fedex"
"Allowed Methods","Modalități permise","module","Magento_Fedex"
"Hub ID","ID Hub","module","Magento_Fedex"
"The field is applicable if the Smart Post method is selected.","Acest câmp se aplică numai dacă modalitatea Smart Post este selectată.","module","Magento_Fedex"
"Free Method","Modalitate opțională","module","Magento_Fedex"
"Free Shipping Amount Threshold","Prag sumă livrare gratuită","module","Magento_Fedex"
"Displayed Error Message","Mesaj eroare afișat","module","Magento_Fedex"
"Ship to Applicable Countries","Livrare în țările aplicabile","module","Magento_Fedex"
"Ship to Specific Countries","Livrare în țări specifice","module","Magento_Fedex"
"Debug","Depanare","module","Magento_Fedex"
"Show Method if Not Applicable","Afișați modalitatea dacă nu este aplicabilă","module","Magento_Fedex"
"Sort Order","Sorați comanda","module","Magento_Fedex"
