"Dynamic","Dinamic","module","Magento_GoogleAdwords"
"Constant","Constant","module","Magento_GoogleAdwords"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Valoarea culorii conversiei nu este validă ""%1"". Setați o valoare hexazecimală de 6 cifre.","module","Magento_GoogleAdwords"
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Valoare Id conversie nevalidă ""%1"". Id-ul conversiei trebuie să fie întreg.","module","Magento_GoogleAdwords"
"Google AdWords","AdWords Google","module","Magento_GoogleAdwords"
"Enable","Activați","module","Magento_GoogleAdwords"
"Conversion ID","ID de conversie","module","Magento_GoogleAdwords"
"Conversion Language","Limbă conversie","module","Magento_GoogleAdwords"
"Conversion Format","Format conversie","module","Magento_GoogleAdwords"
"Conversion Color","Culoare conversie","module","Magento_GoogleAdwords"
"Conversion Label","Etichetă conversie","module","Magento_GoogleAdwords"
"Conversion Value Type","Tip valoare conversie","module","Magento_GoogleAdwords"
"Conversion Value","Valoare conversie","module","Magento_GoogleAdwords"
