"Indexer Management","Gestionare indexator","module","Magento_Indexer"
"Update by Schedule","Actualizare după Program","module","Magento_Indexer"
"Update on Save","Actualizare la Salvare","module","Magento_Indexer"
"Reindex required","Reindexare solicitată","module","Magento_Indexer"
"Ready","Gata","module","Magento_Indexer"
"Processing","Se procesează","module","Magento_Indexer"
"Never","Niciodată","module","Magento_Indexer"
"Index Management","Gestionare index","module","Magento_Indexer"
"Please select indexers.","Selectați indexatorii.","module","Magento_Indexer"
"%1 indexer(s) are in ""Update by Schedule"" mode.","Indexatorii %1 sunt în modul ""Actualizare după program"" .","module","Magento_Indexer"
"We couldn't change indexer(s)' mode because of an error.","Nu s-a putut modifica modul indexatorilor din cauza unei erori.","module","Magento_Indexer"
"%1 indexer(s) are in ""Update on Save"" mode.","Indexatorii %1 sunt în modul ""Actualizare la salvare"" .","module","Magento_Indexer"
"One or more of the indexers are not valid. Please add Magento cron file to crontab or launch cron.php manually.","Unul sau mai mulți indexatori nu sunt valizi. Adăugați fișierul cron al Magento la crontab sau lansați manual cron.php .","module","Magento_Indexer"
"State for the same indexer","Situația pentru același indexator","module","Magento_Indexer"
"State for the same view","Situația pentru aceeași vizualizare","module","Magento_Indexer"
"Some Exception Message","Mesaj excepție","module","Magento_Indexer"
"Test Phrase","Frază de test","module","Magento_Indexer"
"Indexer","Indexator","module","Magento_Indexer"
"Description","Descriere","module","Magento_Indexer"
"Mode","Mod","module","Magento_Indexer"
"Status","Status","module","Magento_Indexer"
"Updated","Actualizat","module","Magento_Indexer"
