"Filterable (with results)","Filtrabile (cu rezultate)","module","Magento_LayeredNavigation"
"Filterable (no results)","Filtrabile (fără rezultate)","module","Magento_LayeredNavigation"
"No","Nu","module","Magento_LayeredNavigation"
"Use in Layered Navigation","Folosiți la navigarea stratificată","module","Magento_LayeredNavigation"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Poate fi folosit numai cu input catalog tip Dropdown, Selecție multiplă și Preț","module","Magento_LayeredNavigation"
"Use in Search Results Layered Navigation","Folosește la Navigarea stratificată a rezultatelor căutării","module","Magento_LayeredNavigation"
"Position","Poziție","module","Magento_LayeredNavigation"
"Position in Layered Navigation","Poziție în navigarea stratificată","module","Magento_LayeredNavigation"
"Position of attribute in layered navigation block","Poziția tributului în blocul de navigare stratificată","module","Magento_LayeredNavigation"
"item","articol","module","Magento_LayeredNavigation"
"items","articole","module","Magento_LayeredNavigation"
"Now Shopping by","Cumpără acum de la","module","Magento_LayeredNavigation"
"Previous","Anteriorul","module","Magento_LayeredNavigation"
"Remove","șterge","module","Magento_LayeredNavigation"
"Remove This Item","șterge acest articol","module","Magento_LayeredNavigation"
"Shop By","Filtreaza dupa","module","Magento_LayeredNavigation"
"Clear All","șterge toate","module","Magento_LayeredNavigation"
"Shopping Options","Opțiuni cumpărare","module","Magento_LayeredNavigation"
"Layered Navigation","Navigație pe niveluri","module","Magento_LayeredNavigation"
"Display Product Count","Afișează sumă produs","module","Magento_LayeredNavigation"
"Price Navigation Step Calculation","Calculare treaptă navigare preț","module","Magento_LayeredNavigation"
"Default Price Navigation Step","Treaptă navigare preț implicit","module","Magento_LayeredNavigation"
"Maximum Number of Price Intervals","Număr maxim de intervale preț","module","Magento_LayeredNavigation"
"Maximum number of price intervals is 100","Numărul maxim de intervale preț este de 100","module","Magento_LayeredNavigation"
"Display Price Interval as One Price","Afișați interval preț ca un singur preț","module","Magento_LayeredNavigation"
"This setting will be applied when all prices in the specific price interval are equal.","Această setare va fi pusă în aplicare atunci când toate prețurile dintr-un interval specific de preț sunt egale.","module","Magento_LayeredNavigation"
"Interval Division Limit","Limită diviziune interval","module","Magento_LayeredNavigation"
"Please specify the number of products, that will not be divided into subintervals.","Specificați numărul de produse care nu vor fi divizate în subintervale.","module","Magento_LayeredNavigation"
