"Partners","Parteneri","module","Magento_Marketplace"
"Magento Marketplace","Piață de desfacere Magento","module","Magento_Marketplace"
"Platinum Partners","Parteneri Platină","module","Magento_Marketplace"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Reprezentând cel mai înalt nivel de acord partenerial Magento, Partenerii de Platină ai Magento s-au autodesemnat liderii și inovatorii produselor cheie și ai serviciilor create pentru a ajuta comercianții și brand-urilor să-și mărească afacerea. Magento rezervă nivelul Platină pentru parteneri de încredere selecți, care se angajează să ofere integrări ale caracteristicilor, funcțiilor și instrumentelor comerciale, precum și sisteme și operațiuni back-end pentru a extinde și intensifica puterea platformei comerciale Magento.","module","Magento_Marketplace"
"Featured Platinum Partners","Featured Platinum Partners","module","Magento_Marketplace"
"Partner search","Partner search","module","Magento_Marketplace"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento are un ecosistem prosper de pateneri în tehnologie pentru a ajuta comercianții și brand-urile să creeze clienților cele mai bune experiențe posibile. Aceștia sunt recunoscuți ca experți în comerțul electronic, căutare, marketing prin email, plăți, taxe, fraude, optimizare și analitică, execuție, și altele. Vizitați Registrul Parteneri Magento pentru a vedea toți partenerii de încredere.","module","Magento_Marketplace"
"More Partners","Mai mulți parteneri","module","Magento_Marketplace"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Extensiile și temele sunt o componentă esențială a Ecosistemului Magento. Vizitați piața de desfacere Magento pentru a vedea ultimele inovații pe care dezvoltatorii le-au creat pentru a mări magazinul dumneavoastră Magento.","module","Magento_Marketplace"
"Visit Magento Marketplaces","Vizitați piața de desfacere Magento","module","Magento_Marketplace"
"Read More","Mai multe","module","Magento_Marketplace"
"Partner Page","Pagină parteneri","module","Magento_Marketplace"
"No partners were found","Nici un partener găsit","module","Magento_Marketplace"
