"To see product price, add this item to your cart. You can always remove it later.","Pentru a vedea prețul produsului, adăugați acest articol la coșul dumneavoastră. îl puteți șterge oricând.","module","Magento_Msrp"
"See price before order confirmation.","Vizualizare preț înaintea confirmării comenzii.","module","Magento_Msrp"
"On Gesture","La gest","module","Magento_Msrp"
"In Cart","în coș","module","Magento_Msrp"
"Before Order Confirmation","înainte de confirmarea comenzii","module","Magento_Msrp"
"Use config","Folosește configurație","module","Magento_Msrp"
"Click for price","Faceți click pe preț","module","Magento_Msrp"
"What's this?","Ce este aceasta?","module","Magento_Msrp"
"Order total will be displayed before you submit the order","Totalul comenzii va fi afișat înainte de trimiterea comenzii","module","Magento_Msrp"
"You will see the order total before you submit the order.","Veți vedea totalul comenzii înainte de a trimite comanda.","module","Magento_Msrp"
"Price","Preț","module","Magento_Msrp"
"Actual Price","Preț curent","module","Magento_Msrp"
"Add to Cart","adaugă la coș","module","Magento_Msrp"
"Minimum Advertised Price","Preț minim publicat","module","Magento_Msrp"
"Enable MAP","Actualizați HARTA","module","Magento_Msrp"
"Display Actual Price","Afișați prețul actual","module","Magento_Msrp"
"Default Popup Text Message","Mesaj text Poppup implicit","module","Magento_Msrp"
"Default ""What's This"" Text Message","Mesaj text ""Ce este aceasta"" implicit","module","Magento_Msrp"
