"Change Billing Address","Modifică adresa de facturare","module","Magento_Multishipping"
"Ship to Multiple Addresses","Livrare la adrese multiple","module","Magento_Multishipping"
"Billing Information - %1","Informații facturare - %1","module","Magento_Multishipping"
"Review Order - %1","Revizuire comandă - %1","module","Magento_Multishipping"
"Total","Total","module","Magento_Multishipping"
"Total for this address","Totalul pentru această adresă","module","Magento_Multishipping"
"Shipping Methods","Modalități livrare","module","Magento_Multishipping"
"Edit Address","Editează adresa","module","Magento_Multishipping"
"Edit Billing Address","Editează adresa de facturare","module","Magento_Multishipping"
"Edit Shipping Address","Editează adresa de livrare","module","Magento_Multishipping"
"Create Billing Address","Creează adresă de facturare","module","Magento_Multishipping"
"Create Shipping Address","Creează adresă de livrare","module","Magento_Multishipping"
"Data saving problem","Problemă la salvarea informațiilor","module","Magento_Multishipping"
"We cannot open the overview page.","Nu se poate deschide pagina de prezentare generală.","module","Magento_Multishipping"
"Please agree to all Terms and Conditions before placing the order.","Trebuie să fiți de acord cu toți Termenii și condițiile pentru a plasa comanda.","module","Magento_Multishipping"
"Order place error","Eroare plasare comandă","module","Magento_Multishipping"
"Maximum qty allowed for Shipping to multiple addresses is %1","Cantitatea maximă permisă pentru livrarea la adrese multiple este de %1","module","Magento_Multishipping"
"Please check shipping address information.","Verificați informațiile adresei de livrare","module","Magento_Multishipping"
"Please check billing address information.","Verificați informațiile adresei de facturare","module","Magento_Multishipping"
"Please select shipping methods for all addresses.","Selectați modalitățile de livrare pentru toate adresele.","module","Magento_Multishipping"
"A payment method is not defined.","Una dintre modalitățile de plată nu este definită.","module","Magento_Multishipping"
"The requested payment method is not available for multishipping.","Modalitatea de plată solicitată nu este disponibilă pentru livrarea la adrese multiple.","module","Magento_Multishipping"
"Item not found or already ordered","Articolul nu este găsit sau este deja comandat.","module","Magento_Multishipping"
"Please specify a payment method.","Specificați o modalitate de plată.","module","Magento_Multishipping"
"Please check shipping addresses information.","Verificați informațiile adreselor de livrare.","module","Magento_Multishipping"
"Please specify shipping methods for all addresses.","Specificați modalități de plată pentru toate adresele.","module","Magento_Multishipping"
"Select Addresses","Selectați adresele","module","Magento_Multishipping"
"Shipping Information","Informații livrare","module","Magento_Multishipping"
"Billing Information","Informații facturare","module","Magento_Multishipping"
"Place Order","Plasați comanda","module","Magento_Multishipping"
"Order Success","Comandă plasată cu succes","module","Magento_Multishipping"
"Default Billing","Facturare implicită","module","Magento_Multishipping"
"Default Shipping","Livrare implicită","module","Magento_Multishipping"
"Select Address","Selectați adresa","module","Magento_Multishipping"
"Add New Address","Adăugați adresă nouă","module","Magento_Multishipping"
"Back to Billing Information","înapoi la informațiile de facturare","module","Magento_Multishipping"
"Please select a shipping address for applicable items.","Selectați o adresă de livrare pentru articolele aplicabile.","module","Magento_Multishipping"
"Product","Produs","module","Magento_Multishipping"
"Qty","Cantitate","module","Magento_Multishipping"
"Send To","Trimite la","module","Magento_Multishipping"
"A shipping selection is not applicable.","O selecție de livrare nu poate fi pusă în aplicare.","module","Magento_Multishipping"
"Actions","Acțiuni","module","Magento_Multishipping"
"Remove Item","șterge articol","module","Magento_Multishipping"
"Remove item","șterge articol","module","Magento_Multishipping"
"Go to Shipping Information","Mergeți la Informațiile de livrare","module","Magento_Multishipping"
"Update Qty &amp; Addresses","Actualizați cantitatea și adresele","module","Magento_Multishipping"
"Enter a New Address","Introduceți o adresă nouă","module","Magento_Multishipping"
"Back to Shopping Cart","înapoi la coșul de cumpărături","module","Magento_Multishipping"
"Billing Address","Adresă de facturare","module","Magento_Multishipping"
"Change","Modifică","module","Magento_Multishipping"
"Payment Method","Modalitate de plată","module","Magento_Multishipping"
"Go to Review Your Order","Mergeți la Revizuiți comanda","module","Magento_Multishipping"
"Back to Shipping Information","înapoi la informațiile de livrare","module","Magento_Multishipping"
"Other items in your order","Alte articole din comanda dumneavoastră","module","Magento_Multishipping"
"Edit Items","Editare articole","module","Magento_Multishipping"
"Shipping is not applicable.","Lvrarea nu poate fi pusă în aplicare.","module","Magento_Multishipping"
"Product Name","Nume produs","module","Magento_Multishipping"
"Check Out with Multiple Addresses","Finalizare comandă cu adrese multiple","module","Magento_Multishipping"
"Address %1 <span>of %2</span>","Adresă %1 <span>of %2</span>","module","Magento_Multishipping"
"Shipping To","Livrare la","module","Magento_Multishipping"
"Shipping Method","Modalitate de livrare","module","Magento_Multishipping"
"Incl. Tax","Taxe incluse","module","Magento_Multishipping"
"Excl. Tax","Taxe excluse","module","Magento_Multishipping"
"Order Review","Revizuire comandă","module","Magento_Multishipping"
"Item","Articol","module","Magento_Multishipping"
"Edit","Editare","module","Magento_Multishipping"
"Price","Preț","module","Magento_Multishipping"
"Subtotal","Subtotal","module","Magento_Multishipping"
"Items","Articole","module","Magento_Multishipping"
"Grand Total:","Total general:","module","Magento_Multishipping"
"Submitting order information...","Se trimit informațiile comenzii...","module","Magento_Multishipping"
"Sorry, no quotes are available for this order right now.","Ne cerem scuze, momentan nu sunt disponibile mențiuni pentru această comandă.","module","Magento_Multishipping"
"Continue to Billing Information","Continuă cu informațiile de facturare","module","Magento_Multishipping"
"Back to Select Addresses","înapoi la selectare adrese","module","Magento_Multishipping"
"Thank you for your purchase!","Vă mulțumim pentru achiziție!","module","Magento_Multishipping"
"Thanks for your order. We'll email you order details and tracking information.","Mulțumim pentru achiziție. Veți primi un email cu detaliile comenzii și informațiile de urmărire ale acesteia.","module","Magento_Multishipping"
"Your order numbers are:","Numerele comenzii dumneavoastră sunt:","module","Magento_Multishipping"
"Your order number is:","Numărul comenzii dumneavoatră este:","module","Magento_Multishipping"
"Continue Shopping","Continuați cumpărăturile","module","Magento_Multishipping"
"We can't complete your order because you don't have a payment method set up.","Nu putem finaliza comanda dumneavoastră deoarece nu ați setat o modalitate de plată.","module","Magento_Multishipping"
"Please choose a payment method.","Alegeți o modalitate de plată.","module","Magento_Multishipping"
"Multishipping Settings","Setări livrare multiplă","module","Magento_Multishipping"
"Options","Opțiuni","module","Magento_Multishipping"
"Allow Shipping to Multiple Addresses","Permiteți livrarea la adrese multiple","module","Magento_Multishipping"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Cantitate maximă permisă pentru livrarea la adrese multiple","module","Magento_Multishipping"
"Review Order","Revizuiți comanda","module","Magento_Multishipping"
"Select Shipping Method","Selectați modalitate de livrare","module","Magento_Multishipping"
"We received your order!","Am primit comanda dumneavoastră!","module","Magento_Multishipping"
