"Delete Selected Problems","ștergeți problemele selectate","module","Magento_Newsletter"
"Unsubscribe Selected","Dezabonare selectate","module","Magento_Newsletter"
"Back","înapoi","module","Magento_Newsletter"
"Reset","Resetare","module","Magento_Newsletter"
"Preview Template","Previzualizare șablon","module","Magento_Newsletter"
"Save Newsletter","Salvare buletin informativ","module","Magento_Newsletter"
"Save and Resume","Salvează și continuă","module","Magento_Newsletter"
"View Newsletter","Vizualizare Buletin informativ","module","Magento_Newsletter"
"Edit Newsletter","Editare Buletin informativ","module","Magento_Newsletter"
"Queue Information","Informații șir","module","Magento_Newsletter"
"Queue Date Start","Dată de început șir","module","Magento_Newsletter"
"Subscribers From","Abonați de la","module","Magento_Newsletter"
"Subject","Subiect","module","Magento_Newsletter"
"Sender Name","Nume expeditor","module","Magento_Newsletter"
"Sender Email","Email expeditor","module","Magento_Newsletter"
"Message","Mesaj","module","Magento_Newsletter"
"Newsletter Styles","Stiluri Buletin informativ","module","Magento_Newsletter"
"Start","începeți","module","Magento_Newsletter"
"Pause","Pauză","module","Magento_Newsletter"
"Do you really want to cancel the queue?","Sunteți sigur că doriți să anulați șirul?","module","Magento_Newsletter"
"Cancel","Anulare","module","Magento_Newsletter"
"Resume","Continuă","module","Magento_Newsletter"
"Preview","Previzualizare","module","Magento_Newsletter"
"Add New Template","Adaugă șablon nou","module","Magento_Newsletter"
"Newsletter Templates","șabloane Buletin informativ","module","Magento_Newsletter"
"Convert to Plain Text","Transformați în text simplu","module","Magento_Newsletter"
"Return HTML Version","Inapoi la versiunea HTML","module","Magento_Newsletter"
"Delete Template","șterge șablon","module","Magento_Newsletter"
"Save As","Salvare ca","module","Magento_Newsletter"
"Save Template","Salvare șablon","module","Magento_Newsletter"
"Edit Newsletter Template","Editare șablon Buletin informativ","module","Magento_Newsletter"
"New Newsletter Template","șablon Buletin informativ nou","module","Magento_Newsletter"
"Template Information","Informații șablon","module","Magento_Newsletter"
"Template Name","Nume șablon","module","Magento_Newsletter"
"Template Subject","Subiect șablon","module","Magento_Newsletter"
"Template Content","Conținut șablon","module","Magento_Newsletter"
"Template Styles","Stiluri șablon","module","Magento_Newsletter"
"No Templates Found","Nici un șablon găsit","module","Magento_Newsletter"
"ID","ID","module","Magento_Newsletter"
"Template","șablon","module","Magento_Newsletter"
"Added","Adăugat","module","Magento_Newsletter"
"Updated","Actualizat","module","Magento_Newsletter"
"Sender","Expeditor","module","Magento_Newsletter"
"Template Type","Tip șablon","module","Magento_Newsletter"
"Action","Acțiune","module","Magento_Newsletter"
"Queue Newsletter","Pune Buletinul informativ la coada de așteptare","module","Magento_Newsletter"
"We unsubscribed the people you identified.","Am dezabonat persoanele identificate.","module","Magento_Newsletter"
"The problems you identified have been deleted.","Problemele identificate au fost șterse.","module","Magento_Newsletter"
"Newsletter Problems Report","Raport probleme Buletin informativ","module","Magento_Newsletter"
"Newsletter Problem Reports","Rapoarte probleme Buletin informativ","module","Magento_Newsletter"
"Newsletter Queue","șir Buletine informative","module","Magento_Newsletter"
"Edit Queue","Editare șir","module","Magento_Newsletter"
"Please correct the newsletter template and try again.","Corectați șablonul Buletinului informativ și încercați din nou.","module","Magento_Newsletter"
"You saved the newsletter queue.","Ați salvat șirul buletinelor informative.","module","Magento_Newsletter"
"Newsletter Subscribers","Abonați Buletin informativ","module","Magento_Newsletter"
"Newsletter","Buletin informativ","module","Magento_Newsletter"
"Subscribers","Abonați","module","Magento_Newsletter"
"Please select one or more subscribers.","Selectați unul sau mai mulți abonați.","module","Magento_Newsletter"
"Total of %1 record(s) were deleted.","Un total de %1 rapoarte au fost șterse.","module","Magento_Newsletter"
"A total of %1 record(s) were updated.","Un total de %1 au fost actualizate.","module","Magento_Newsletter"
"The newsletter template has been deleted.","șablonul buletinului informativ a fost șters.","module","Magento_Newsletter"
"We can't delete this template right now.","Momentan, acest șablon nu poate fi șters.","module","Magento_Newsletter"
"Edit Template","Editare șablon","module","Magento_Newsletter"
"New Template","șablon nou","module","Magento_Newsletter"
"Create Newsletter Template","Creează șablon Buletin informativ","module","Magento_Newsletter"
"The newsletter template has been saved.","șablonul buletinului informativ a fost salvat.","module","Magento_Newsletter"
"Something went wrong while saving this template.","A avut loc o eroare la salvarea șablonului.","module","Magento_Newsletter"
"Newsletter Subscription","Abonare Buletin informativ","module","Magento_Newsletter"
"Something went wrong while saving your subscription.","A avut loc o eroare la salvarea abonării dumneavoastră.","module","Magento_Newsletter"
"We saved the subscription.","Abonarea a fost salvată.","module","Magento_Newsletter"
"We removed the subscription.","Abonarea a fost ștearsă.","module","Magento_Newsletter"
"Your subscription has been confirmed.","Abonarea dumneavoastră a fost confirmată.","module","Magento_Newsletter"
"This is an invalid subscription confirmation code.","Cod de confirmare abonare nevalid.","module","Magento_Newsletter"
"This is an invalid subscription ID.","ID abonare nevalid.","module","Magento_Newsletter"
"This email address is already assigned to another user.","Această adresă email este deja atribuită unui alt utilizator.","module","Magento_Newsletter"
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Ne pare rău, dar administratorul refuză abonarea vizitatorilor. Vă rugăm <a href=""%1"">înregistrați-vă</a>.","module","Magento_Newsletter"
"Please enter a valid email address.","Introduceți o adresă email validă.","module","Magento_Newsletter"
"The confirmation request has been sent.","Solicitarea de confirmare a fost trimisă.","module","Magento_Newsletter"
"Thank you for your subscription.","Vă mulțumim pentru abonare.","module","Magento_Newsletter"
"There was a problem with the subscription: %1","A avut loc o eroare cu abonarea: %1","module","Magento_Newsletter"
"Something went wrong with the subscription.","A avut loc o eroare cu abonarea.","module","Magento_Newsletter"
"You unsubscribed.","V-ați dezabonat.","module","Magento_Newsletter"
"Something went wrong while unsubscribing you.","A avut loc o eroare la dezabonarea dumneavoastră.","module","Magento_Newsletter"
"Sent","Trimis","module","Magento_Newsletter"
"Cancelled","Anulat","module","Magento_Newsletter"
"Not Sent","Netrimis","module","Magento_Newsletter"
"Sending","Se trimite","module","Magento_Newsletter"
"Paused","întrerupt","module","Magento_Newsletter"
"There are no subscribers selected.","Nici un abonat nu este selectat.","module","Magento_Newsletter"
"You selected an invalid queue.","Ați selectat un șir nevalid.","module","Magento_Newsletter"
"We cannot mark as received subscriber.","Nu poate fi marcat ca abonat recepționat.","module","Magento_Newsletter"
"Duplicate template code","Dublează cod șablon","module","Magento_Newsletter"
