"Make Check payable to:","Faceți cecul plătibil la:","module","Magento_OfflinePayments"
"Send Check to:","Trimiteți cecul la:","module","Magento_OfflinePayments"
"Purchase Order Number","Număr achiziție","module","Magento_OfflinePayments"
"Make Check payable to: %1","Faceți cecul plătibil la: %1","module","Magento_OfflinePayments"
"Purchase Order Number: %1","Număr achiziție: %1","module","Magento_OfflinePayments"
"Make Check payable to","Faceți cecul plătibil la","module","Magento_OfflinePayments"
"Send Check to","Trimiteți cecul la","module","Magento_OfflinePayments"
"Check / Money Order","Verificare / Mandat poștal","module","Magento_OfflinePayments"
"Enabled","Activat","module","Magento_OfflinePayments"
"New Order Status","Status comandă nouă","module","Magento_OfflinePayments"
"Sort Order","Sortare comandă","module","Magento_OfflinePayments"
"Title","Titlu","module","Magento_OfflinePayments"
"Payment from Applicable Countries","Plată din țările aplicabile","module","Magento_OfflinePayments"
"Payment from Specific Countries","Plată din țări specifice","module","Magento_OfflinePayments"
"Make Check Payable to","Faceți cecul plătibil la","module","Magento_OfflinePayments"
"Minimum Order Total","Total minim comandă","module","Magento_OfflinePayments"
"Maximum Order Total","Total maxim comandă","module","Magento_OfflinePayments"
"Purchase Order","Comandă de achiziție","module","Magento_OfflinePayments"
"Bank Transfer Payment","Plată prin transfer bancar","module","Magento_OfflinePayments"
"Instructions","Instrucțiuni","module","Magento_OfflinePayments"
"Cash On Delivery Payment","Plata la livrare","module","Magento_OfflinePayments"
"Zero Subtotal Checkout","Checkout subtotal zero","module","Magento_OfflinePayments"
"Automatically Invoice All Items","Facturare automată pentru toate articolele","module","Magento_OfflinePayments"
