"Country","Tara","module","Magento_OfflineShipping"
"Region/State","Zonă/stat","module","Magento_OfflineShipping"
"Zip/Postal Code","Cod poștal","module","Magento_OfflineShipping"
"Shipping Price","Preț livrare","module","Magento_OfflineShipping"
"Export CSV","Exportă CSV","module","Magento_OfflineShipping"
"Store Pickup","Ridicare de la magazin","module","Magento_OfflineShipping"
"Weight vs. Destination","Greutate vs. Destinație","module","Magento_OfflineShipping"
"Price vs. Destination","Preț vs. Destinație","module","Magento_OfflineShipping"
"# of Items vs. Destination","# de articole vs. Destinație","module","Magento_OfflineShipping"
"Weight (and above)","Greutate (și peste)","module","Magento_OfflineShipping"
"Order Subtotal (and above)","Subtotal comandă (și peste)","module","Magento_OfflineShipping"
"# of Items (and above)","# de articole (și peste)","module","Magento_OfflineShipping"
"Please correct Table Rate code type: %1.","Corectați tipul de cod al tabelului de rate : %1.","module","Magento_OfflineShipping"
"Please correct Table Rate code for type %1: %2.","Corectați codul tabelului de rate pentru tipul %1: %2.","module","Magento_OfflineShipping"
"None","Nici unul","module","Magento_OfflineShipping"
"Per Order","Pe comandă","module","Magento_OfflineShipping"
"Per Item","Pe articol","module","Magento_OfflineShipping"
"Please correct Table Rates File Format.","Corectați formatul de fișier al tabelelor de rate.","module","Magento_OfflineShipping"
"Something went wrong while importing table rates.","A avut loc o eroare la importarea tabelelor de rate.","module","Magento_OfflineShipping"
"We couldn't import this file because of these errors: %1","Nu s-a putut importa acest fișier din cauza acestor erori: %1","module","Magento_OfflineShipping"
"Please correct Table Rates format in the Row #%1.","Corectați formatul tabelelor de rate în rândul #%1.","module","Magento_OfflineShipping"
"Please correct Country ""%1"" in the Row #%2.","Corectați țara ""%1"" în rândul #%2.","module","Magento_OfflineShipping"
"Please correct Region/State ""%1"" in the Row #%2.","Corectați Zonă/Stat ""%1"" în rândul #%2.","module","Magento_OfflineShipping"
"Please correct %1 ""%2"" in the Row #%3.","Corectați %1 ""%2"" în rândul #%3.","module","Magento_OfflineShipping"
"Please correct Shipping Price ""%1"" in the Row #%2.","Corectați Preț de livrare ""%1"" în rândul #%2.","module","Magento_OfflineShipping"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Dublați rândul #%1 (țara ""%2"", Zonă/Stat ""%3"", Cod poștal ""%4"" și Valoare ""%5"")","module","Magento_OfflineShipping"
"Free Shipping","Livrare gratuită","module","Magento_OfflineShipping"
"No","Nu","module","Magento_OfflineShipping"
"For matching items only","Numai pentru articolele care se potrivesc","module","Magento_OfflineShipping"
"For shipment with matching items","Pentru livrare cu articole care se potrivesc","module","Magento_OfflineShipping"
"Flat Rate","Taxă forfetară","module","Magento_OfflineShipping"
"Enabled","Activat","module","Magento_OfflineShipping"
"Method Name","Nume modalitate","module","Magento_OfflineShipping"
"Price","Preț","module","Magento_OfflineShipping"
"Calculate Handling Fee","Calculați taxa de manipulare","module","Magento_OfflineShipping"
"Handling Fee","Taxă manipulare","module","Magento_OfflineShipping"
"Sort Order","Sortare comandă","module","Magento_OfflineShipping"
"Title","Titlu","module","Magento_OfflineShipping"
"Type","Tip","module","Magento_OfflineShipping"
"Ship to Applicable Countries","Livrare în țările aplicabile","module","Magento_OfflineShipping"
"Ship to Specific Countries","Livrare în țări specifice","module","Magento_OfflineShipping"
"Show Method if Not Applicable","Afișați metoda dacă nu este aplicabilă","module","Magento_OfflineShipping"
"Displayed Error Message","Mesaj de eroare afișat","module","Magento_OfflineShipping"
"Table Rates","Rate tabel","module","Magento_OfflineShipping"
"Condition","Condiție","module","Magento_OfflineShipping"
"Include Virtual Products in Price Calculation","Includeți produsele virtuale la calcularea prețului","module","Magento_OfflineShipping"
"Export","Export","module","Magento_OfflineShipping"
"Import","Import","module","Magento_OfflineShipping"
"Minimum Order Amount","Sumă minimă comandă","module","Magento_OfflineShipping"
