"Export VCL for Varnish","Exportare VCL pentru Varnish","module","Magento_PageCache"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Valoarea Ttl ""%1"" nu este validă. Folosiți doar numere egale sau mai mari decât zero.","module","Magento_PageCache"
"Built-in Application (Not Recommended for Production Use)","Aplicație integrată (Nu se recomandă pentru a fi folosită la producție)","module","Magento_PageCache"
"Varnish Caching","Caching Varnish","module","Magento_PageCache"
"Full Page Cache","Cache pagină întreagă","module","Magento_PageCache"
"Caching Application","Aplicație Caching","module","Magento_PageCache"
"Varnish Configuration","Configurație Varnish","module","Magento_PageCache"
"Access list","Listă de acces","module","Magento_PageCache"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
  If field is empty default value localhost will be saved.","Lista de acces la IP-uri separate prin ',' care poate curăța configurația Varnish pentru configurarea generării de fișiere. Dacă câmpul este gol, localhost valoare implicită va fi salvat.","module","Magento_PageCache"
"Backend host","Gazdă Backend","module","Magento_PageCache"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Specificați gazda backend pentru configurarea generării fișierului. Dacă acest câmp este gol, localhost valoare implicită va fi salvat.","module","Magento_PageCache"
"Backend port","Port Backend","module","Magento_PageCache"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Specificați portul Backend pentru configrarea fișierului. Dacă acest câmp este gol, valoarea implicită de 86400 va fi salvată.","module","Magento_PageCache"
"TTL for public content","TTL pentru conținut public","module","Magento_PageCache"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","Termen conținut public cache în secunde. Dacă acest câmp este gol, valoarea implicită de 86400 va fi salvată.","module","Magento_PageCache"
"Page Cache","Cache pagină","module","Magento_PageCache"
"Full page caching.","Caching pagină întreagă.","module","Magento_PageCache"
