"Url","Url","module","Magento_ProductVideo"
"Title","Titlu","module","Magento_ProductVideo"
"Description","Descriere","module","Magento_ProductVideo"
"Preview Image","Previzualizare imagine","module","Magento_ProductVideo"
"Get Video Information","Obțineți Informații Video","module","Magento_ProductVideo"
"Hide from Product Page","Ascundeți din pagina de produse","module","Magento_ProductVideo"
"Role","Rol","module","Magento_ProductVideo"
"YouTube and Vimeo supported.","Sunt acceptate YouTube și Vimeo.","module","Magento_ProductVideo"
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo acceptat.<br />Pentru a adăuga videoclip YouTube, vă rugăm <a href=""%1"">introduceți cheia API YouTube</a> întâi.","module","Magento_ProductVideo"
"Could not get preview image information. Please check your connection and try again.","Nu s-au putut obține informații de previzualizare ale imaginii. Verificați-vă conexiunea și încercați din nou.","module","Magento_ProductVideo"
"Click here to add videos.","Faceți click aici pentru a adăuga videoclipuri.","module","Magento_ProductVideo"
"New Video","Videoclip nou","module","Magento_ProductVideo"
"Add Video","Adaugă videoclip","module","Magento_ProductVideo"
"Add video","Adaugă videoclip","module","Magento_ProductVideo"
"Click here or drag and drop to add images.","Faceți click aici sau glisați și fixați pentru a adăuga imaginile.","module","Magento_ProductVideo"
"Delete video","ștergeți videoclip","module","Magento_ProductVideo"
"Delete image","ștergeți imagine","module","Magento_ProductVideo"
"Make Base","Faceți bază","module","Magento_ProductVideo"
"Hidden","Ascuns","module","Magento_ProductVideo"
"Alt Text","Alt Text","module","Magento_ProductVideo"
"Title:","Titlu:","module","Magento_ProductVideo"
"Uploaded:","încărcat:","module","Magento_ProductVideo"
"Uploader:","Uploader:","module","Magento_ProductVideo"
"Duration:","Durată:","module","Magento_ProductVideo"
"Video Error","Eroare video","module","Magento_ProductVideo"
"Unknown video type","Tip video necunoscut","module","Magento_ProductVideo"
"Invalid video url","URL video nevalid","module","Magento_ProductVideo"
"Youtube API key is invalid","Cheie API Youtube nevalidă","module","Magento_ProductVideo"
"Video cant be shown due to the following reason:","Clipul video nu poate fi afișat din cauza următorului motiv:","module","Magento_ProductVideo"
"Video not found","Clipul video nu este găsit","module","Magento_ProductVideo"
"Save","Salvați","module","Magento_ProductVideo"
"Cancel","Anulați","module","Magento_ProductVideo"
"Delete","ștergeți","module","Magento_ProductVideo"
"Edit Video","Editare clip video","module","Magento_ProductVideo"
"Images and Videos","Imagini și clipuri video","module","Magento_ProductVideo"
"Product Video","Produs video","module","Magento_ProductVideo"
"YouTube API Key","Cheie API YouTube","module","Magento_ProductVideo"
"Autostart base video","începere automată a clipului video de bază","module","Magento_ProductVideo"
"Show related video","Afișați clipuri video asociate","module","Magento_ProductVideo"
"Auto restart video","Reîncepere automată clip video","module","Magento_ProductVideo"
