"New Accounts","Conturi noi","module","Magento_Reports"
"Customers by number of orders","Clienți după numărul de comenzi","module","Magento_Reports"
"Customers by Orders Total","Clienți după totalul comenzilor","module","Magento_Reports"
"Filter","Filtrare","module","Magento_Reports"
"Date Used","Dată utilizare","module","Magento_Reports"
"Day","Zi","module","Magento_Reports"
"Month","Lună","module","Magento_Reports"
"Year","An","module","Magento_Reports"
"Period","Perioadă","module","Magento_Reports"
"From","De la","module","Magento_Reports"
"To","Către","module","Magento_Reports"
"Yes","Da","module","Magento_Reports"
"No","Nu","module","Magento_Reports"
"Empty Rows","Rânduri goale","module","Magento_Reports"
"Invalid date specified","Dată nevalidă specificată","module","Magento_Reports"
"Refresh","Reîmprospătare","module","Magento_Reports"
"We can't find records for this period.","Nu se găsesc registre pentru această perioadă.","module","Magento_Reports"
"Show Reviews","Arată recenzii","module","Magento_Reports"
"Products Report","Raport produse","module","Magento_Reports"
"Downloads","Descărcări","module","Magento_Reports"
"Product","Produs","module","Magento_Reports"
"Link","Link","module","Magento_Reports"
"SKU","Unitate de înmagazinare","module","Magento_Reports"
"Purchases","Achiziții","module","Magento_Reports"
"CSV","CSV","module","Magento_Reports"
"Excel XML","XML Excel","module","Magento_Reports"
"Unlimited","Nelimitat","module","Magento_Reports"
"Low stock","Stoc redus","module","Magento_Reports"
"Products Ordered","Produse comandate","module","Magento_Reports"
"Most Viewed","Cele mai vizualizate","module","Magento_Reports"
"Show Report","Arată raport","module","Magento_Reports"
"Interval","Interval","module","Magento_Reports"
"Total","Total","module","Magento_Reports"
"Price","Preț","module","Magento_Reports"
"Views","Vizualizări","module","Magento_Reports"
"Refresh Statistics","Reîmprospătare statistici","module","Magento_Reports"
"Customers Reviews","Recenzii clienți","module","Magento_Reports"
"Reviews for %1","Recenzii pentru %1","module","Magento_Reports"
"Customer","Client","module","Magento_Reports"
"Title","Titlu","module","Magento_Reports"
"Detail","Detalii","module","Magento_Reports"
"Created","Creat","module","Magento_Reports"
"Products Reviews","Recenzie produs","module","Magento_Reports"
"Products Bestsellers Report","Raport cele mai vândute produse","module","Magento_Reports"
"Order Quantity","Cantitate comandă","module","Magento_Reports"
"Coupons Usage Report","Raport de utilizare a cupoanelor","module","Magento_Reports"
"Subtotal","Subtotal","module","Magento_Reports"
"Coupon Code","Cod cupon","module","Magento_Reports"
"Price Rule","Regulă preț","module","Magento_Reports"
"Uses","Utilizări","module","Magento_Reports"
"Sales Subtotal","Subtotal vânzări","module","Magento_Reports"
"Sales Discount","Reducere vânzări","module","Magento_Reports"
"Sales Total","Total vânzări","module","Magento_Reports"
"Discount","Reducere","module","Magento_Reports"
"Total Invoiced vs. Paid Report","Total facturate vs. Raport plăți","module","Magento_Reports"
"Orders","Comenzi","module","Magento_Reports"
"Invoiced Orders","Comenzi facturate","module","Magento_Reports"
"Total Invoiced","Total facturate","module","Magento_Reports"
"Paid Invoices","Facturi plătite","module","Magento_Reports"
"Unpaid Invoices","Facturi neplătite","module","Magento_Reports"
"Total Refunded Report","Raport total restituiri","module","Magento_Reports"
"Refunded Orders","Comenzi restituite","module","Magento_Reports"
"Total Refunded","Total restituiri","module","Magento_Reports"
"Online Refunds","Restituiri Online","module","Magento_Reports"
"Offline Refunds","Restituiri Offline","module","Magento_Reports"
"Total Ordered Report","Raport total comandate","module","Magento_Reports"
"Sales Items","Articole vânzare","module","Magento_Reports"
"Items","Articole","module","Magento_Reports"
"Revenue","Venituri","module","Magento_Reports"
"Profit","Profit","module","Magento_Reports"
"Invoiced","Facturat","module","Magento_Reports"
"Paid","Plătit","module","Magento_Reports"
"Refunded","Restituit","module","Magento_Reports"
"Sales Tax","Taxă vânzări","module","Magento_Reports"
"Tax","Taxă","module","Magento_Reports"
"Sales Shipping","Livrare vânzări","module","Magento_Reports"
"Shipping","Livrare","module","Magento_Reports"
"Canceled","anulat","module","Magento_Reports"
"Total Shipped Report","Raport Total livrate","module","Magento_Reports"
"Carrier/Method","Transportator/Modalitate","module","Magento_Reports"
"Total Sales Shipping","Livrare total vânzări","module","Magento_Reports"
"Total Shipping","Livrare totală","module","Magento_Reports"
"Order Taxes Report Grouped by Tax Rate","Rapoarte taxa comandă grupate după rata de impozitare","module","Magento_Reports"
"Rate","rată","module","Magento_Reports"
"Tax Amount","Sumă taxă","module","Magento_Reports"
"Abandoned carts","Coșuri abandonate","module","Magento_Reports"
"Email","Email","module","Magento_Reports"
"Products","Produse","module","Magento_Reports"
"Quantity","Cantitate","module","Magento_Reports"
"Applied Coupon","Cupon folosit","module","Magento_Reports"
"Updated","Actualizat","module","Magento_Reports"
"IP Address","Adresă IP","module","Magento_Reports"
"Customers","Clienți","module","Magento_Reports"
"ID","ID","module","Magento_Reports"
"First Name","Prenume","module","Magento_Reports"
