"Save Review","Salvează Recenzie","module","Magento_Review"
"New Review","Recenzie nouă","module","Magento_Review"
"Review Details","Detalii Recenzie","module","Magento_Review"
"Product","Produs","module","Magento_Review"
"Product Rating","RatingProdus","module","Magento_Review"
"Status","Status","module","Magento_Review"
"Visibility","Vizibilitate","module","Magento_Review"
"Nickname","Nickname","module","Magento_Review"
"Summary of Review","Cuprins Recenzie","module","Magento_Review"
"Review","Recenzie","module","Magento_Review"
"Previous","Anterior","module","Magento_Review"
"Save and Previous","Salvați și reveniți","module","Magento_Review"
"Save and Next","Salvați și mergeți mai departe","module","Magento_Review"
"Next","Următorul","module","Magento_Review"
"Delete Review","șterge recenzie","module","Magento_Review"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?","module","Magento_Review"
"Edit Review '%1'","Editare recenzie'%1'","module","Magento_Review"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","module","Magento_Review"
"Administrator","Administrator","module","Magento_Review"
"Guest","Vizitator","module","Magento_Review"
"Author","Autor","module","Magento_Review"
"Summary Rating","Cuprins Rating","module","Magento_Review"
"Detailed Rating","Rating Detaliat","module","Magento_Review"
"ID","ID","module","Magento_Review"
"Created","Creat","module","Magento_Review"
"Title","Titlu","module","Magento_Review"
"Type","Tip","module","Magento_Review"
"SKU","Unitate de înmagazinare","module","Magento_Review"
"Action","Acțiune","module","Magento_Review"
"Edit","Editare","module","Magento_Review"
"Delete","ștergere","module","Magento_Review"
"Are you sure?","Sunteți sigur?","module","Magento_Review"
"Update Status","Actualizare Status","module","Magento_Review"
"Customer","Client","module","Magento_Review"
"Pending Reviews of Customer `%1`","Recenzii în așteptare ale clientului`%1`","module","Magento_Review"
"Pending Reviews","Recenzii în așteptare","module","Magento_Review"
"All Reviews of Customer `%1`","Toate recenziile clientului `%1`","module","Magento_Review"
"All Reviews of Product `%1`","Toate recenziile produsului `%1`","module","Magento_Review"
"All Reviews","Toate recenziile","module","Magento_Review"
"Name","Nume","module","Magento_Review"
"Product Store Name","Nume magazin produs","module","Magento_Review"
"Price","Preț","module","Magento_Review"
"Quantity","Cantitate","module","Magento_Review"
"Websites","Website-uri","module","Magento_Review"
"Manage Ratings","Gestionare Rating-uri","module","Magento_Review"
"Add New Rating","Adăugați Rating nou","module","Magento_Review"
"Save Rating","Salvare Rating","module","Magento_Review"
"Delete Rating","ștergere Rating","module","Magento_Review"
"Edit Rating #%1","Editare Rating #%1","module","Magento_Review"
"New Rating","Rating nou","module","Magento_Review"
"Rating Title","Titlu Rating","module","Magento_Review"
"Default Value","Valoare implicită","module","Magento_Review"
"Rating Visibility","Vizibilitate Rating","module","Magento_Review"
"Is Active","Este Activ","module","Magento_Review"
"Sort Order","Sortare Comandă","module","Magento_Review"
"Rating Information","Informații Rating","module","Magento_Review"
"Product Reviews","Recenzii Produs","module","Magento_Review"
"Pending product review(s)","Recenzii produs în așteptare","module","Magento_Review"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Produsul: <a href=""%1"" target=""_blank"">%2</a> <br/>","module","Magento_Review"
"Summary of review: %1 <br/>","Cuprins recenzie: %1 <br/>","module","Magento_Review"
"Review: %1 <br/>","Recenzie: %1 <br/>","module","Magento_Review"
"Store: %1 <br/>","Magazin: %1 <br/>","module","Magento_Review"
"Click <a href=""%1"">here</a> to see the review.","Faceți click <a href=""%1"">aici</a> pentru a vedea rcenzia.","module","Magento_Review"
"Product: ""%1"" reviewed by: %2","Produs: ""%1"" recenzat de: %2","module","Magento_Review"
"Pending Reviews RSS","RSS Recenzii produs","module","Magento_Review"
"Reviews %1","Recenzii %1","module","Magento_Review"
"Reviews","Recenzii","module","Magento_Review"
"The review has been deleted.","Recenzia a fost ștearsă.","module","Magento_Review"
"Something went wrong deleting this review.","A avut loc o eroare la ștergerea acestei recenzii.","module","Magento_Review"
"Customer Reviews","Recenzii","module","Magento_Review"
"Edit Review","Editare recenzie","module","Magento_Review"
"We can't retrieve the product ID.","Nu se poate recupera ID-ul produsului.","module","Magento_Review"
"Please select review(s).","Selectați recenzii.","module","Magento_Review"
"A total of %1 record(s) have been deleted.","Un total de %1 registre au fost șterse.","module","Magento_Review"
"Something went wrong while deleting these records.","A avut loc o eroare la ștergerea acestor registre.","module","Magento_Review"
"A total of %1 record(s) have been updated.","Un total de %1 registre au fost actualizate.","module","Magento_Review"
"Something went wrong while updating these review(s).","A avut loc o eroare la actualizarea acestor recenzii.","module","Magento_Review"
"You saved the review.","Ați salvat recenzia.","module","Magento_Review"
"Something went wrong while saving this review.","A avut loc o eroare la salvarea acestei recenzii.","module","Magento_Review"
"The review was removed by another user or does not exist.","Recenzia a fost ștearsă de către un alt utilizator sau nu există.","module","Magento_Review"
"You deleted the rating.","Ați șters rating-ul.","module","Magento_Review"
"Ratings","Rating-uri","module","Magento_Review"
"You saved the rating.","Ați salvat rating-ul.","module","Magento_Review"
"My Product Reviews","Recenziile Produsului Meu","module","Magento_Review"
"You submitted your review for moderation.","Ați trimis o recenzie pentru verificare.","module","Magento_Review"
"We can't post your review right now.","Nu putem afișa recenzia dumneavoastră momentan.","module","Magento_Review"
"Storage key was not set","Cheia depozitării nu este setată","module","Magento_Review"
"Approved","Aprobat","module","Magento_Review"
"Pending","în așteptare","module","Magento_Review"
"Not Approved","Neaprobat","module","Magento_Review"
"Please enter a review summary.","Introduceți un cuprins al recenziei","module","Magento_Review"
"Please enter a nickname.","Introduceți un nickname.","module","Magento_Review"
"Please enter a review.","Introduceți o revizuire.","module","Magento_Review"
"Rating isn't Available","Rating-ul nu este disponibil","module","Magento_Review"
"Please specify a rating title for a store, or we'll just use the default value.","Specificați un titlu de rating pentru un magazin sau vom folosi valoarea implicită.","module","Magento_Review"
"Assigned Options","Opțiuni atribuite","module","Magento_Review"
"Option Title:","Titlu Opțiuni:","module","Magento_Review"
"Product Name","Nume produs","module","Magento_Review"
"Rating","Rating","module","Magento_Review"
"Actions","Acțiuni","module","Magento_Review"
"See Details","Vedeți detalii","module","Magento_Review"
"You have submitted no reviews.","Nu ați trimis nici o recenzie.","module","Magento_Review"
"Back","înapoi","module","Magento_Review"
"My Recent Reviews","Recenziile Mele Recente","module","Magento_Review"
"View All","Vizualizare toate","module","Magento_Review"
"Average Customer Rating:","Rating Mediu Client:","module","Magento_Review"
"Your Review","Recenzia dumneavoastră","module","Magento_Review"
"Submitted on %1","Trimis la %1","module","Magento_Review"
"Back to My Reviews","înapoi la Recenziile Mele","module","Magento_Review"
"Ratings Review Summary","Rating-uri cuprins recenzii","module","Magento_Review"
"Be the first to review this product","Scrieți o recenzie","module","Magento_Review"
