"Credit Memos","Note credit","module","Magento_Sales"
"Orders","Comezi","module","Magento_Sales"
"Invoices","Facturi","module","Magento_Sales"
"We can't get the order instance right now.","Nu putem obține instanța comenzii momentan.","module","Magento_Sales"
"Create New Order","Creați Comandă nouă","module","Magento_Sales"
"Save Order Address","Salvați adresă comandă","module","Magento_Sales"
"Shipping","Livrare","module","Magento_Sales"
"Billing","Facturare","module","Magento_Sales"
"Edit Order %1 %2 Address","Editare adresă comandă %1 %2","module","Magento_Sales"
"Order Address Information","Informații adresă comandă","module","Magento_Sales"
"Please correct the parent block for this block.","Corectați blocul de bază pentru acest bloc.","module","Magento_Sales"
"Submit Comment","Trimite comentariu","module","Magento_Sales"
"Submit Order","Trimite comandă","module","Magento_Sales"
"Are you sure you want to cancel this order?","Sunteți sigur că doriți să anulați această comandă?","module","Magento_Sales"
"Cancel","Anulare","module","Magento_Sales"
"Billing Address","Adresă facturare","module","Magento_Sales"
"Payment Method","Modalitate plată","module","Magento_Sales"
"Order Comment","Comentariu comandă","module","Magento_Sales"
"Coupons","Cupoane","module","Magento_Sales"
"Please select a customer","Selectați un client","module","Magento_Sales"
"Create New Customer","Creați client nou","module","Magento_Sales"
"Account Information","Informații cont","module","Magento_Sales"
"From","De la","module","Magento_Sales"
"To","Către","module","Magento_Sales"
"Message","Mesaj","module","Magento_Sales"
"Edit Order #%1","Editare comandă #%1","module","Magento_Sales"
"Create New Order for %1 in %2","Creare comandă nouă pentru %1 în %2","module","Magento_Sales"
"Create New Order for New Customer in %1","Creare comandă nouă pentru client nou în %1","module","Magento_Sales"
"Create New Order for %1","Creare comandă nouă pentru %1","module","Magento_Sales"
"Create New Order for New Customer","Creare comandă nouă pentru client nou","module","Magento_Sales"
"Items Ordered","Articol comandat","module","Magento_Sales"
"This product is disabled.","Acest produs este dezactivat.","module","Magento_Sales"
"Buy %1 for price %2","Cumpără %1 la prețul de %2","module","Magento_Sales"
"Item ordered qty","Cantitate comandată articol","module","Magento_Sales"
"%1 with %2 discount each","%1 cu %2 reducere fiecare","module","Magento_Sales"
"%1 for %2","%1 cu %2","module","Magento_Sales"
"* - Enter custom price including tax","* - Introduceți prețul personalizat incluzând taxele","module","Magento_Sales"
"* - Enter custom price excluding tax","* - Introduceți prețul personalizat excluzând taxele","module","Magento_Sales"
"Configure","Configurare","module","Magento_Sales"
"This product does not have any configurable options","Acest produs nu are nici o opțiune de configurare","module","Magento_Sales"
"Newsletter Subscription","Abonare Buletin informativ","module","Magento_Sales"
"Please select products","Selectați produse","module","Magento_Sales"
"Add Selected Product(s) to Order","Adăugați produsele selectate la Comandă","module","Magento_Sales"
"ID","ID","module","Magento_Sales"
"Product","Produs","module","Magento_Sales"
"SKU","Unitate de înmagazinare","module","Magento_Sales"
"Price","Preț","module","Magento_Sales"
"Select","Selectare","module","Magento_Sales"
"Quantity","Cantitate","module","Magento_Sales"
"Shipping Address","Adresă de livrare","module","Magento_Sales"
"Shipping Method","Modalitate de livrare","module","Magento_Sales"
"Update Changes","Actualizare modificări","module","Magento_Sales"
"Shopping Cart","Coș de cumpărături","module","Magento_Sales"
"Are you sure you want to delete all items from shopping cart?","Sunteți sigur că doriți să ștergeți toate articolele din coșul de cumpărături?","module","Magento_Sales"
