"New Shipment for Order #%1","Livrare nouă pentru Comanda #%1","module","Magento_Shipping"
"Submit Shipment","Trimite livrare","module","Magento_Shipping"
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.","Incercați sa adăugați o cantitate pentru anumite produse care nu coincide cu cantitatea care a fost livrată.","module","Magento_Shipping"
"Products should be added to package(s)","Produsele ar trebui adăugate la colete.","module","Magento_Shipping"
"The value that you entered is not valid.","Valoarea introdusă nu este validă.","module","Magento_Shipping"
"Add Tracking Number","Adăugare număr urmărire comandă.","module","Magento_Shipping"
"Custom Value","Valoare personalizată","module","Magento_Shipping"
"Add","Adăugare","module","Magento_Shipping"
"Send Tracking Information","Trimiteți informații de urmărire a comenzii","module","Magento_Shipping"
"Are you sure you want to send a Shipment email to customer?","Sunteți sigur că doriți sp trimiteți un email de livrare clientului?","module","Magento_Shipping"
"Print","Printare","module","Magento_Shipping"
"the shipment email was sent","email-ul de livrare a fost trimis","module","Magento_Shipping"
"the shipment email is not sent","email-ul de livrare nu a fost trimis","module","Magento_Shipping"
"Shipment #%1 | %3 (%2)","Livrarea #%1 | %3 (%2)","module","Magento_Shipping"
"Create Shipping Label...","Creați etichetă livrare...","module","Magento_Shipping"
"Print Shipping Label","Printați eichetă livrare","module","Magento_Shipping"
"Show Packages","Afișare colete","module","Magento_Shipping"
"About Your Shipment","Despre livrarea dumneavoastră","module","Magento_Shipping"
"Order # %1","Comanda # %1","module","Magento_Shipping"
"Back to My Orders","înapoi la Comenzile Mele","module","Magento_Shipping"
"View Another Order","Vizualizare altă comandă","module","Magento_Shipping"
"Please enter a comment.","Introduceți un comentariu","module","Magento_Shipping"
"Cannot add new comment.","Nu se poate adăuga un comentariu nou.","module","Magento_Shipping"
"Please specify a carrier.","Specificați un transportator.","module","Magento_Shipping"
"Please enter a tracking number.","Introduceți un număr de urmărire al comenzii.","module","Magento_Shipping"
"Shipments","Livrări","module","Magento_Shipping"
"We can't initialize shipment for adding tracking number.","Nu se poate inițializa livrarea pentru adăugarea numărului de urmărire al comenzii.","module","Magento_Shipping"
"Cannot add tracking number.","Nu se poate adăuga un număr de urmărire al comenzii.","module","Magento_Shipping"
"You created the shipping label.","Ați creat eticheta de livrare a comenzii.","module","Magento_Shipping"
"An error occurred while creating shipping label.","A avut loc o eroare la crearea etichetei de livrare.","module","Magento_Shipping"
"You sent the shipment.","Ați efectuat livrarea.","module","Magento_Shipping"
"Cannot send shipment information.","Nu se pot trimite informații despre livrare.","module","Magento_Shipping"
"There are no shipping labels related to selected orders.","Nu există etichete de livrare asociate comenzilor selectate.","module","Magento_Shipping"
"New Shipment","Livrare nouă","module","Magento_Shipping"
"We don't recognize or support the file extension in this shipment: %1.","Nu se recunoaște sau nu se acceptă extensia fișierului la aceată livrare: %1.","module","Magento_Shipping"
"We can't initialize shipment for delete tracking number.","Nu se poate inițializa livrarea pentru ștergerea numărului de urmărire al comenzii.","module","Magento_Shipping"
"We can't delete tracking number.","Nu se poate șterge numărul de urmărire al comenzii","module","Magento_Shipping"
