"Save & Generate","Salvați și generați","module","Magento_Sitemap"
"Edit Sitemap","Editare hartă site","module","Magento_Sitemap"
"New Sitemap","Hartă site nouă","module","Magento_Sitemap"
"Sitemap Information","Informații hartă site","module","Magento_Sitemap"
"Sitemap","Hartă site","module","Magento_Sitemap"
"Filename","Nume fișier","module","Magento_Sitemap"
"example: sitemap.xml","exemplu: hartăsite.xml","module","Magento_Sitemap"
"Path","Cale","module","Magento_Sitemap"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","exemplu: ""/hartăsite/""sau ""/"" pentru calea de bază (calea trebuie să fie inscriptibilă)","module","Magento_Sitemap"
"Store View","Vizualizare magazin","module","Magento_Sitemap"
"Generate","Generați","module","Magento_Sitemap"
"XML Sitemap","Hartă site XML","module","Magento_Sitemap"
"Add Sitemap","Adaugă hartă site","module","Magento_Sitemap"
"Catalog","Catalog","module","Magento_Sitemap"
"You deleted the sitemap.","Ați șters harta site-ului.","module","Magento_Sitemap"
"We can't find a sitemap to delete.","Nu se găsește nici o hartă a site-ului de șters.","module","Magento_Sitemap"
"This sitemap no longer exists.","Harta site-ului nu mai există.","module","Magento_Sitemap"
"Site Map","Hartă site.","module","Magento_Sitemap"
"New Site Map","Hartă site nouă","module","Magento_Sitemap"
"The sitemap ""%1"" has been generated.","Harta site-ului ""%1"" a fost generată.","module","Magento_Sitemap"
"We can't generate the sitemap right now.","Nu se poate genera o hartă a site-ului în acest moment.","module","Magento_Sitemap"
"We can't find a sitemap to generate.","Nu se poate găsi o hartă de site pentru generare.","module","Magento_Sitemap"
"You saved the sitemap.","Ați salvat harta site-ului.","module","Magento_Sitemap"
"The priority must be between 0 and 1.","Prioritatea trebuie să fie între 0 și 1.","module","Magento_Sitemap"
"Always","întotdeauna","module","Magento_Sitemap"
"Hourly","La fiecare oră","module","Magento_Sitemap"
"Daily","Zilnic","module","Magento_Sitemap"
"Weekly","Săptămânal","module","Magento_Sitemap"
"Monthly","Lunar","module","Magento_Sitemap"
"Yearly","Anual","module","Magento_Sitemap"
"Never","Niciodată","module","Magento_Sitemap"
"File handler unreachable","Manipulant fișier inaccesibil.","module","Magento_Sitemap"
"Please define a correct path.","Definiți o cale corectă.","module","Magento_Sitemap"
"Please create the specified folder ""%1"" before saving the sitemap.","Creați dosarul specificat ""%1"" înainte de a salva harta site-ului.","module","Magento_Sitemap"
"Please make sure that ""%1"" is writable by the web-server.","Asigurați-vă că ""%1"" este inscriptibil de către server-ul web.","module","Magento_Sitemap"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Folosiți doar litere (a-z sau A-Z), numere (0-9) sau underscore (_) în numele fișierului. Spațiile sau alte caratere nu sunt admise.","module","Magento_Sitemap"
"None","Nici unul","module","Magento_Sitemap"
"Base Only","Numai bază","module","Magento_Sitemap"
"All","Toate","module","Magento_Sitemap"
"Sitemap Generation Warnings","Avestismente Generație Hartă Site","module","Magento_Sitemap"
"Categories Options","Opțiuni categorii","module","Magento_Sitemap"
"Frequency","Frecvență","module","Magento_Sitemap"
"Priority","Prioritate","module","Magento_Sitemap"
"Valid values range from 0.0 to 1.0.","Interval valori valide de la 0.0 la 1.0.","module","Magento_Sitemap"
"Products Options","Opțiuni produs","module","Magento_Sitemap"
"Add Images into Sitemap","Adăugați imagini pe Harta site-ului","module","Magento_Sitemap"
"CMS Pages Options","Opțiuni Pagini CMS","module","Magento_Sitemap"
"Generation Settings","Setări Generare","module","Magento_Sitemap"
"Enabled","Activat","module","Magento_Sitemap"
"Error Email Recipient","Eroare destinatar email","module","Magento_Sitemap"
"Error Email Sender","Eroare expeditor email","module","Magento_Sitemap"
"Error Email Template","Eroare șablon email","module","Magento_Sitemap"
"Email template chosen based on theme fallback when ""Default"" option is selected.","șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată.","module","Magento_Sitemap"
"Start Time","Timp de începere","module","Magento_Sitemap"
"Sitemap File Limits","Limită fișiere pe Harta Site-ului","module","Magento_Sitemap"
"Maximum No of URLs Per File","Număr maxim de URL-uri pe pagină","module","Magento_Sitemap"
"Maximum File Size","Mărime maximă fișier","module","Magento_Sitemap"
"File size in bytes.","Mărime fișier în octeți","module","Magento_Sitemap"
"Search Engine Submission Settings","Setări PrezentareMotor de Căutare","module","Magento_Sitemap"
"Enable Submission to Robots.txt","Activați Prezentare la Robots.txt","module","Magento_Sitemap"
"ID","ID","module","Magento_Sitemap"
"Link for Google","Link pentru Google","module","Magento_Sitemap"
"Last Generated","Ultimul generat","module","Magento_Sitemap"
"Action","Acțiune","module","Magento_Sitemap"
