"Swatch Helper: not valid parameter for product instantiation","Mostră ajutătoare: parametru nevalid pentru instalarea produsului","module","Magento_Swatches"
"Update Product Preview Image","Actualizați imaginea de previzualizare a produsului","module","Magento_Swatches"
"Filtering by this attribute will update the product image on catalog page","Filtrarea cu acest atribut va actualiza imaginea produsului pe pagina din catalog","module","Magento_Swatches"
"Use Product Image for Swatch if Possible","Folosiți imagine produs pentru mostră dacă este posibil","module","Magento_Swatches"
"Allows use fallback logic for replacing swatch image with product swatch or base image","Folosiți întotdeauna modulul fallback logic pentru înlocuirea mostrei de imagine cu mostra de produs sau imaginea de bază","module","Magento_Swatches"
"Visual Swatch","Mostră vizuală","module","Magento_Swatches"
"Text Swatch","Mostră text","module","Magento_Swatches"
"Manage Swatch (values of your attribute)","Gestionează mostră (valori ale atributului dumneavoastră)","module","Magento_Swatches"
"Is Default","Este implicit","module","Magento_Swatches"
"Add Swatch","Adăugați mostră","module","Magento_Swatches"
"Sort Option","Sortează opțiune","module","Magento_Swatches"
"Delete","șterge","module","Magento_Swatches"
"Swatch","Mostră","module","Magento_Swatches"
"Swatches per Product","Swatch-uri pe Produs","module","Magento_Swatches"
