"Tax Rate Information","Informații rata de impozitare","module","Magento_Tax"
"Tax Identifier","Identificator taxe","module","Magento_Tax"
"Zip/Post is Range","Codul este gama","module","Magento_Tax"
"Zip/Post Code","Cod poștal","module","Magento_Tax"
"*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","*' - se potrivește cu oricare; 'xyz*' - se porivește cu orice începe cu 'xyz' și nu este mai lung de %1.","module","Magento_Tax"
"Range From","Gamă de la","module","Magento_Tax"
"Range To","Gamă până la","module","Magento_Tax"
"State","Stat","module","Magento_Tax"
"Country","Tara","module","Magento_Tax"
"Rate Percent","Procentaj rată","module","Magento_Tax"
"Tax Titles","Titluri taxă","module","Magento_Tax"
"Add New Tax Rate","Adăugați rată de impozitare nouă","module","Magento_Tax"
"Back","înapoi","module","Magento_Tax"
"Reset","Resetare","module","Magento_Tax"
"Delete Rate","ștergeți rată","module","Magento_Tax"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?","module","Magento_Tax"
"Save Rate","Salvați rată","module","Magento_Tax"
"Manage Tax Rules","Gestionați reguli taxă","module","Magento_Tax"
"Add New Tax Rule","Adăugați regulă taxă nouă","module","Magento_Tax"
"Save Rule","Salvați regulă","module","Magento_Tax"
"Delete Rule","ștergeți regulă","module","Magento_Tax"
"Save and Continue Edit","Salvați și continuați editarea","module","Magento_Tax"
"Tax Rule Information","Informații regulă taxă","module","Magento_Tax"
"Name","Nume","module","Magento_Tax"
"Customer Tax Class","Clasă taxă client","module","Magento_Tax"
"Product Tax Class","Clasă taxă produs","module","Magento_Tax"
"Tax Rate","Rată taxă","module","Magento_Tax"
"Priority","Prioritate","module","Magento_Tax"
"Tax rates at the same priority are added, others are compounded.","Ratele taxelor de aceeași prioritate sunt adăugate, altele sunt compuse.","module","Magento_Tax"
"Calculate Off Subtotal Only","Calculați numai subtotalul","module","Magento_Tax"
"Sort Order","sortați comanda","module","Magento_Tax"
"Do you really want to delete this tax class?","Sunteți sigur că doriți să ștergeți această clasă de taxă?","module","Magento_Tax"
"Add New Tax Class","Adăugați clasă taxă nouă","module","Magento_Tax"
"Shipping Incl. Tax (%1)","Livrare cu taxe incluse(%1)","module","Magento_Tax"
