"Code","Cod","module","Magento_TaxImportExport"
"Country","Tara","module","Magento_TaxImportExport"
"State","Stat","module","Magento_TaxImportExport"
"Zip/Post Code","Cod poștal","module","Magento_TaxImportExport"
"Rate","Rată","module","Magento_TaxImportExport"
"Zip/Post is Range","Codul este gama","module","Magento_TaxImportExport"
"Range From","Gamă de la","module","Magento_TaxImportExport"
"Range To","Gamă până la","module","Magento_TaxImportExport"
"Tax Zones and Rates","Zone și rate taxă","module","Magento_TaxImportExport"
"Import and Export Tax Rates","Rate taxe import și export","module","Magento_TaxImportExport"
"The tax rate has been imported.","Rata de taxe a fost importată.","module","Magento_TaxImportExport"
"Invalid file upload attempt","încercare încărcare fișier nevalid.","module","Magento_TaxImportExport"
"Invalid file upload attempt.","încercare încărcare fișier nevalid.","module","Magento_TaxImportExport"
"Invalid file format.","Format fișier nevalid.","module","Magento_TaxImportExport"
"One of the countries has invalid code.","Una dintre țări are un cod nevalid.","module","Magento_TaxImportExport"
"Import Tax Rates","Rate taxă import","module","Magento_TaxImportExport"
"Export Tax Rates","Rate taxă export","module","Magento_TaxImportExport"
"CSV","CSV","module","Magento_TaxImportExport"
"Excel XML","XML Excel","module","Magento_TaxImportExport"
