"items","articole","module","Magento_Theme"
"Themes","Teme","module","Magento_Theme"
"Save and Continue Edit","Salvați și continuați editarea","module","Magento_Theme"
"Are you sure you want to delete this theme?","Sunteți sigur că doriți să ștergeși această temă?","module","Magento_Theme"
"Theme: %1","Tema: %1","module","Magento_Theme"
"New Theme","Temă nouă","module","Magento_Theme"
"Theme CSS","Temă CSS","module","Magento_Theme"
"Theme CSS Assets","Active Temă CSS","module","Magento_Theme"
"Custom CSS","CSS Personalizat","module","Magento_Theme"
"Select CSS File to Upload","Selectați fișiere CSS pentru încărcare","module","Magento_Theme"
"Upload CSS File","încărcare fișier CSS","module","Magento_Theme"
"Download CSS File","Descărcare fișier CSS","module","Magento_Theme"
"Manage","Gestionați","module","Magento_Theme"
"Upload Images","încărcați imagini","module","Magento_Theme"
"Images Assets","Active imagini","module","Magento_Theme"
"Upload Fonts","încărcați font-uri","module","Magento_Theme"
"Fonts Assets","Active font","module","Magento_Theme"
"Edit custom.css","Editare personalizat.css","module","Magento_Theme"
"Allowed file types *.css.","Tipuri fișier acceptate *.css.","module","Magento_Theme"
"This file will replace the current custom.css file and can't be more than 2 MB.","Acest fișier va înlocui fișierul personalizat.css și nu poate fi mai mare de 2 MB.","module","Magento_Theme"
"Max file size to upload %1M","Mărimea maximă a fișierului de încărcat este de %1M","module","Magento_Theme"
"Something is wrong with the file upload settings.","A avut loc o eroare la setările de încărcare fișier.","module","Magento_Theme"
"CSS Editor","Editor CSS","module","Magento_Theme"
"Theme Settings","Setări teme","module","Magento_Theme"
"Parent Theme","Temă de bază","module","Magento_Theme"
"Theme Path","Cale temă","module","Magento_Theme"
"Theme Title","Titlu temă","module","Magento_Theme"
"Theme Preview Image","Imagine previzualizare temă","module","Magento_Theme"
"General","General","module","Magento_Theme"
"Copy of %1","Copie a %1","module","Magento_Theme"
"Max image size %1M","Mărime maximă imagine %1M","module","Magento_Theme"
"Theme JavaScript","Temă JavaScript","module","Magento_Theme"
"Select JS Files to Upload","Selectați fișiere JS pentru încărcare","module","Magento_Theme"
"Upload JS Files","încărcați fișiere JS","module","Magento_Theme"
"JS Editor","Editor JS","module","Magento_Theme"
