"Condition type ""%1"" is not allowed","Tip condiție ""%1"" nu este acceptat","module","Magento_Ui"
"The configuration parameter ""formElement"" is a required for ""' . . '"" field.","Parametrul de configurație ""formElement"" estenecesar pentru câmpul ""' . . '"" .","module","Magento_Ui"
"Remove ' .","Elimină ' .","module","Magento_Ui"
"Add New ' .","Adaugă nou ' .","module","Magento_Ui"
"New ' .","Nou ' .","module","Magento_Ui"
"Please select item(s).","Selectați articolele.","module","Magento_Ui"
"Unsupported bookmark action.","Acțiune Semn de carte neacceptată.","module","Magento_Ui"
"Initialization error component, check the spelling of the name or the correctness of the call.","Eroare componentă inițializare, verificați scrierea numelui sau corectitudinea apelului.","module","Magento_Ui"
"Bookmark with id ""%1"" does not exist.","Semnul de carte cu Id-ul ""%1"" nu există.","module","Magento_Ui"
"Next","Următorul","module","Magento_Ui"
"Back","înapoi","module","Magento_Ui"
"Cancel","anulați","module","Magento_Ui"
"Go to Details Page","Mergeți la Pagina de Detalii","module","Magento_Ui"
"Please enter more or equal than {0} symbols.","Introduceți simboluri mai mari sau egale cu {0} .","module","Magento_Ui"
"Please enter less or equal than {0} symbols.","Introduceți simboluri mai mici sau egale cu {0} .","module","Magento_Ui"
"Please enter {0} words or less.","Introduceți {0} sau mai puține cuvinte.","module","Magento_Ui"
"Please enter at least {0} words.","Introduceți cel puțin {0} cuvinte.","module","Magento_Ui"
"Please enter between {0} and {1} words.","Introduceți între {0} și {1} cuvinte.","module","Magento_Ui"
"Letters or punctuation only please","Introduceți numai litere și semne de puctuație","module","Magento_Ui"
"Letters, numbers, spaces or underscores only please","Introduceți numai litere, spații sau underscore","module","Magento_Ui"
"Letters only please","Introduceți numai litere","module","Magento_Ui"
"No white space please","Nu introduceți spații albe","module","Magento_Ui"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Codul dumneavoastră poștal trebuie să fie în intervalul de la 902xx-xxxx la 905-xx-xxxx","module","Magento_Ui"
"A positive or negative non-decimal number please","Introduceți numere non-zecimale negative sau pozitive","module","Magento_Ui"
"The specified vehicle identification number (VIN) is invalid.","Numărul de identificare a vehiculului (NIV) nu este valid.","module","Magento_Ui"
"Please enter a correct date","Introduceți o dată validă","module","Magento_Ui"
"Vul hier een geldige datum in.","Vul hier een geldige datum in.","module","Magento_Ui"
"Please enter a valid time, between 00:00 and 23:59","Introduceți o oră validă, între 00:00 și 23:59","module","Magento_Ui"
"Please enter a valid time, between 00:00 am and 12:00 pm","Introduceți o oră validă, între 00:00 am și 12:00 pm","module","Magento_Ui"
"Please specify a valid phone number","Specificați un număr de telefon valid","module","Magento_Ui"
"Please specify a valid mobile number","Specificați un număr de telefon mobil valid","module","Magento_Ui"
"Please enter at least {0} characters","Introduceți cel puțin {0} caractere","module","Magento_Ui"
"Please enter a valid credit card number.","Introduceți un număr de card de credit valid.","module","Magento_Ui"
"Please enter a valid IP v4 address.","Introduceți o adresă IP v4 validă.","module","Magento_Ui"
"Please enter a valid IP v6 address.","Introduceți o adresă IP v6 validă.","module","Magento_Ui"
"Invalid format.","Format nevalid.","module","Magento_Ui"
"HTML tags are not allowed.","Etichetele HTML nu sunt permise.","module","Magento_Ui"
"Please select an option.","Selectați o opțiune.","module","Magento_Ui"
"Empty Value.","Valoare nulă.","module","Magento_Ui"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Folosiți numai litere (a-z sau A-Z), numere (0-9) sau spații în acest câmp.","module","Magento_Ui"
