"UPS Next Day Air","Expediere UPS ziua următoare","module","Magento_Ups"
"UPS Second Day Air","Expediere UPS a doua zi","module","Magento_Ups"
"UPS Ground","Domeniu UPS","module","Magento_Ups"
"UPS Worldwide Express","Expres UPS la nivel global","module","Magento_Ups"
"UPS Worldwide Expedited","Expediere de urgență UPS la nivel global","module","Magento_Ups"
"UPS Standard","UPS Standard","module","Magento_Ups"
"UPS Three-Day Select","Selectare UPS în trei zile","module","Magento_Ups"
"UPS Next Day Air Saver","Expediere UPS în ziua următoare","module","Magento_Ups"
"UPS Next Day Air Early A.M.","Expediere UPS în ziua următoare dimineața","module","Magento_Ups"
"UPS Worldwide Express Plus","Expres UPS la nivel global plus","module","Magento_Ups"
"UPS Second Day Air A.M.","Expediere UPS a doua zi dimineața","module","Magento_Ups"
"UPS Saver","EconomisireUPS","module","Magento_Ups"
"UPS Worldwide Saver","Economisire UPS la nivel global","module","Magento_Ups"
"UPS Express","Expediere UPS Expres","module","Magento_Ups"
"UPS Expedited","Expediere UPS de urgență","module","Magento_Ups"
"UPS Express Early A.M.","Expediere UPS Expres dimineața","module","Magento_Ups"
"UPS Worldwide Express PlusSM","Expediere UPS Expres PlusSM la nivel global","module","Magento_Ups"
"UPS Today Standard","Expediere UPS Standard zi curentă","module","Magento_Ups"
"UPS Today Dedicated Courrier","Expediere UPS Curier Special zi curentă","module","Magento_Ups"
"UPS Today Intercity","Expediere UPS Intercity zi curentă","module","Magento_Ups"
"UPS Today Express","Expediere UPS Expres zi curentă","module","Magento_Ups"
"UPS Today Express Saver","Economisire UPS Expres zi curentă","module","Magento_Ups"
"UPS Express Plus","Expediere UPS Expres Plus","module","Magento_Ups"
"Next Day Air Early AM","Ziua următoare dimineață","module","Magento_Ups"
"Next Day Air Early AM Letter","Scrisoare Ziua următoare dimineață","module","Magento_Ups"
"Next Day Air","Ziua următoare","module","Magento_Ups"
"Next Day Air Letter","Scrisoare Ziua următoare","module","Magento_Ups"
"Next Day Air Intra (Puerto Rico)","Ziua următoare intern (Puerto Rico)","module","Magento_Ups"
"Next Day Air Saver","Economisire Ziua următoare","module","Magento_Ups"
"Next Day Air Saver Letter","Economisire scrisoare Ziua următoare","module","Magento_Ups"
"2nd Day Air AM","A doua zi dimineață","module","Magento_Ups"
"2nd Day Air AM Letter","Scrisoare A doua zi dimineață","module","Magento_Ups"
"2nd Day Air","A doua zi dimineață","module","Magento_Ups"
"2nd Day Air Letter","Scrisoare A doua zi dimineață","module","Magento_Ups"
"3 Day Select","Selectare 3 zile","module","Magento_Ups"
"Ground","Domeniu","module","Magento_Ups"
"Ground Commercial","Domeniu comercial","module","Magento_Ups"
"Ground Residential","Domeniu rezidențial","module","Magento_Ups"
"Canada Standard","Canada Standard","module","Magento_Ups"
"Worldwide Express","Expres la nivel global","module","Magento_Ups"
"Worldwide Express Saver","Economisire Expres la nivel global","module","Magento_Ups"
"Worldwide Express Letter","Scrisoare Expres la nivel global","module","Magento_Ups"
"Worldwide Express Plus","Expres la nivel global Plus","module","Magento_Ups"
"Worldwide Express Plus Letter","Scrisoare Expres la nivel global Plus","module","Magento_Ups"
"Worldwide Expedited","Expediere de urgență la nivel global","module","Magento_Ups"
"Customer Packaging","Ambalare client","module","Magento_Ups"
"UPS Letter Envelope","Plic scrisoare UPS","module","Magento_Ups"
"Customer Supplied Package","Colet furnizat de client","module","Magento_Ups"
"UPS Tube","UPS Tube","module","Magento_Ups"
"PAK","PAK","module","Magento_Ups"
"UPS Express Box","Cutie UPS Expres","module","Magento_Ups"
"UPS Worldwide 25 kilo","UPS 25 kilo la nivel global","module","Magento_Ups"
"UPS Worldwide 10 kilo","UPS 10 kilo la nivel global","module","Magento_Ups"
"Pallet","Palet","module","Magento_Ups"
"Small Express Box","Cutie Expres mică","module","Magento_Ups"
"Medium Express Box","Cutie Expres medie","module","Magento_Ups"
"Large Express Box","Cutie Expres mare","module","Magento_Ups"
"Residential","Rezidențial","module","Magento_Ups"
"Commercial","Comercial","module","Magento_Ups"
"Pounds","Livre","module","Magento_Ups"
"Kilograms","Kilograme","module","Magento_Ups"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Ne pare rău, a avut loc o eroare. încercați din nou sau contactați-ne și vom încerca să vă ajutăm.","module","Magento_Ups"
"We can't convert a rate from ""%1-%2"".","Nu se poate face conversia ratei de la ""%1-%2"".","module","Magento_Ups"
"Cannot retrieve shipping rates","Nu se pot recupera ratele de livrare","module","Magento_Ups"
"status","status","module","Magento_Ups"
"error_message","mesaj_eroare","module","Magento_Ups"
"Empty response","Răspuns gol","module","Magento_Ups"
"Delivery Confirmation","Confirmare livrare","module","Magento_Ups"
"Signature Required","Semnătură necesară","module","Magento_Ups"
"Adult Signature Required","Semnătură adult necesară","module","Magento_Ups"
"Not Required","Nu este necesar","module","Magento_Ups"
"None","Nici unul","module","Magento_Ups"
"label","etichetă","module","Magento_Ups"
"United Parcel Service","Serviciu Unitate Colet","module","Magento_Ups"
"United Parcel Service XML","Serviciu Unitate Colet XML","module","Magento_Ups"
"UPS","UPS","module","Magento_Ups"
"Access License Number","Număr licență de acces","module","Magento_Ups"
"Enabled for Checkout","Activat pentru Checkout","module","Magento_Ups"
"Allowed Methods","Modalități permise","module","Magento_Ups"
"Packages Request Type","Tip solicitare colete","module","Magento_Ups"
"Container","Container","module","Magento_Ups"
"Free Shipping Amount Threshold","Prag sumă livrare gratuită","module","Magento_Ups"
"Destination Type","Tip destinație","module","Magento_Ups"
"Free Method","Modalitate gratuită","module","Magento_Ups"
"Gateway URL","URL Gateway","module","Magento_Ups"
"Gateway XML URL","XML URL Gateway","module","Magento_Ups"
"Calculate Handling Fee","Calculați taxa de manipulare","module","Magento_Ups"
"Handling Applied","Manipulare aplicată","module","Magento_Ups"
"Handling Fee","Taxă de manipulare","module","Magento_Ups"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Greutate maximă colet (Consultați-vă transportatorul de livrare pentru aflarea greutății maxime admise)","module","Magento_Ups"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Greutate minimă colet (Consultați-vă transportatorul de livrare pentru aflarea greutății minimă admise)","module","Magento_Ups"
"Origin of the Shipment","Origine livrare","module","Magento_Ups"
"Password","Parolă","module","Magento_Ups"
"Pickup Method","Modalitate ridicare","module","Magento_Ups"
"Sort Order","Sortare comandă","module","Magento_Ups"
"Title","Titlu","module","Magento_Ups"
"Tracking XML URL","Urmărire URL XML","module","Magento_Ups"
"UPS Type","Tip UPS","module","Magento_Ups"
"Live account","Cont real","module","Magento_Ups"
"Weight Unit","Unitate de greutate","module","Magento_Ups"
"User ID","ID utilizator","module","Magento_Ups"
"Enable Negotiated Rates","Activați ratele negociate","module","Magento_Ups"
"Shipper Number","Număr transportator","module","Magento_Ups"
"Required for negotiated rates; 6-character UPS","Necesar pentru ratele negociate; UPS de 6 caractere","module","Magento_Ups"
"Ship to Applicable Countries","Livrare în țările aplicabile","module","Magento_Ups"
"Ship to Specific Countries","Livrare în țări specifice","module","Magento_Ups"
