"Back","înapoi","module","Magento_User"
"Reset","Resetați","module","Magento_User"
"Delete Role","ștergeți rol","module","Magento_User"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?","module","Magento_User"
"Save Role","Salvați rol","module","Magento_User"
"Roles","Roluri","module","Magento_User"
"Add New Role","Adăugați rol nou","module","Magento_User"
"Role Information","Informații rol","module","Magento_User"
"Role Users","Utilizatori rol","module","Magento_User"
"User ID","ID Utilizator","module","Magento_User"
"User Name","Nume Utilizator","module","Magento_User"
"First Name","Prenume","module","Magento_User"
"Last Name","Nume","module","Magento_User"
"Email","Email","module","Magento_User"
"Status","Status","module","Magento_User"
"Active","Activ","module","Magento_User"
"Inactive","Inactiv","module","Magento_User"
"Role Resources","Resurse rol","module","Magento_User"
"Role Info","Informații rol","module","Magento_User"
"Role Name","Nume rol","module","Magento_User"
"Add New User","Adăugați utilizator nou","module","Magento_User"
"Users","Utilizatori","module","Magento_User"
"Save User","Salvați utilizator","module","Magento_User"
"Delete User","ștergeți utilizator","module","Magento_User"
"Are you sure you want to revoke the user's tokens?","Sunteți sigur că doriți să revocați simbolurile utilizatorului/utilizatorilor?","module","Magento_User"
"Force Sign-In","Farțate conectare","module","Magento_User"
"Edit User '%1'","Editare utilizator '%1'","module","Magento_User"
"New User","Utilizator nou","module","Magento_User"
"Account Information","Informații cont","module","Magento_User"
"User Email","Email utilizator","module","Magento_User"
"Password","Parolă","module","Magento_User"
"New Password","Parolă nouă","module","Magento_User"
"Password Confirmation","confirmare parolă","module","Magento_User"
"Interface Locale","Interfață locală","module","Magento_User"
"This account is","Acest cont este","module","Magento_User"
"Account Status","Status cont","module","Magento_User"
"Current User Identity Verification","Cerificare identitate utilizator curent","module","Magento_User"
"Your Password","Parola dumneavoastră","module","Magento_User"
"User Roles Information","Informații roluri utilizator","module","Magento_User"
"Assigned","Atribuit","module","Magento_User"
"Role","Rol","module","Magento_User"
"User Information","Informații utilizator","module","Magento_User"
"User Info","Informații utilizator","module","Magento_User"
"User Role","Rol utilizator","module","Magento_User"
"Please correct the password reset token.","Corectați simbolul de resetare al parolei.","module","Magento_User"
"Please specify the correct account and try again.","Specificați corect contul și încercați din nou.","module","Magento_User"
"Your password reset link has expired.","Link-ul dumneavoastră de resetare parolă a expirat.","module","Magento_User"
"We'll email you a link to reset your password.","Vă vom trimite un email cu link-ul pentru resetarea parolei.","module","Magento_User"
"Please correct this email address:","Corectați această adresă de email:","module","Magento_User"
"Please enter an email address.","Introduceți o adresă de email.","module","Magento_User"
"You updated your password.","Ați actualizat parola.","module","Magento_User"
"Locked Users","Utilizatori blocați","module","Magento_User"
"Unlocked %1 user(s).","%1 utilizatori deblocați.","module","Magento_User"
"System","Sistem","module","Magento_User"
"Permissions","Permisiuni","module","Magento_User"
"You cannot delete your own account.","Nu vă puteți șterge propriul cont.","module","Magento_User"
"You deleted the user.","Ați șters utilizatorul.","module","Magento_User"
"We can't find a user to delete.","Nu se poate găsi un utilizator de șters.","module","Magento_User"
"This user no longer exists.","Utilizatorul nu mai există.","module","Magento_User"
"Edit User","Editare utilizator.","module","Magento_User"
"You have revoked the user's tokens.","Ați revocat simbolurile utilizatorului.","module","Magento_User"
"We can't find a user to revoke.","Nu se poate găsi un utilizator de revocat.","module","Magento_User"
"You cannot delete self-assigned roles.","Nu puteți șterge rolurile auto-atribuite.","module","Magento_User"
"You deleted the role.","Ați șters rolul.","module","Magento_User"
"An error occurred while deleting this role.","A avut loc o eroare la ștergerea acestui rol.","module","Magento_User"
"Edit Role","Editare rol","module","Magento_User"
"New Role","Rol nou","module","Magento_User"
"This role no longer exists.","Rolul nu mai există.","module","Magento_User"
"You saved the role.","Ați salvat rolul.","module","Magento_User"
"An error occurred while saving this role.","A avut loc o eroare la salvarea acestui rol.","module","Magento_User"
"You have entered an invalid password for current user.","Ați introdus o parolă nevalidă pentru utilizatorul curent.","module","Magento_User"
"You saved the user.","Ași salvat utilizatorul.","module","Magento_User"
"A user with the same user name or email already exists.","Un utilizator cu același nume de utilizator sau email există deja.","module","Magento_User"
"Recommended","Recomandat","module","Magento_User"
"Forced","Forțat","module","Magento_User"
"You did not sign in correctly or your account is temporarily disabled.","Nu v-ați conectat corect sau contul dumneavoastră este dezactivat temporar.","module","Magento_User"
"You need more permissions to access this.","Aveți nevoie de mai multe permisiuni pentru a acces.","module","Magento_User"
"User Name is a required field.","Numele de utilizator este un câmp obligatoriu.","module","Magento_User"
"First Name is a required field.","Prenumele este un câmp obligatoriu.","module","Magento_User"
"Last Name is a required field.","Numele este un câmp obligatoriu.","module","Magento_User"
"Please enter a valid email.","Introduceți o adresă email validă.","module","Magento_User"
"Password is required field.","Parola este un câmp obligatoriu.","module","Magento_User"
"Your password must be at least %1 characters.","Parola dumneavoastră trebuie să aibă cel putin %1 caractere.","module","Magento_User"
"Your password must include both numeric and alphabetic characters.","Parola dumneavoastră trebuie să conțină caractere numerice și alfabetice.","module","Magento_User"
"Your password confirmation must match your password.","Confirmarea parolei dumneavoastră trebuie să coincidă cu parola.","module","Magento_User"
"It's time to change your password.","Este timpul să vă schimbați parola.","module","Magento_User"
"It's time to <a href=""%1"">change your password</a>.","Este timpul să <a href=""%1"">vă schimbați parola</a>.","module","Magento_User"
"Sorry, but this password has already been used. Please create another.","Ne pare rău, dar această parolă a fost folosită deja. Creați o altă parolă.","module","Magento_User"
"Your password has expired; please contact your administrator.","Parola dumneavoastră a expirat; contactați administratorul dumneavoastră.","module","Magento_User"
"Password Help","Ajutor parolă","module","Magento_User"
"Enter your email address. You will receive an email with a link to reset your password.","Introduceți adresa de email. Veți primi un email cu link-ul de resetare al parolei.","module","Magento_User"
"Email address","Adresă email","module","Magento_User"
"Retrieve Password","Recuperare parolă","module","Magento_User"
"Back to Sign in","înapoi la Conectare","module","Magento_User"
"Forgot your password?","V-ați uitat parola?","module","Magento_User"
"Reset a Password","Resetare parolă","module","Magento_User"
"Confirm New Password","Confirmare parolă nouă","module","Magento_User"
"Reset Password","Resetare parolă","module","Magento_User"
"Roles Resources","Resurse rol","module","Magento_User"
"Resource Access","Acces resurse","module","Magento_User"
"Custom","Personalizat","module","Magento_User"
"All","Toate","module","Magento_User"
"Resources","Resurse","module","Magento_User"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Avertisment!\r\nAceastă acțiune va elimina acest utilizator din rolul deja atribuit\r\nSunteți sigur?","module","Magento_User"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Avertisment!\r\nAceastă acțiune va elimina acei utilizatori din rolurile deja atribuite\r\nSunteți sigur?","module","Magento_User"
"%name,","%name,","module","Magento_User"
"The password for your account has been successfully changed.","Parola pentru contul dumneavoastră a fost schimbată cu succes.","module","Magento_User"
"If you did not request this change, please contact us.","Dacă nu dumneavoastră ați făcut această solicitare, contactați-ne.","module","Magento_User"
"Thank you,","Vă mulțumim,","module","Magento_User"
"There was recently a request to change the password for your account.","A existat recent o solicitare de schimbare a parolei pentru contul dumneavoastră.","module","Magento_User"
"If you requested this change, reset your password here:","Dacă dumneavoastră ați solicitat această schimbare, setați parola nouă aici:","module","Magento_User"
"If you did not make this request, you can ignore this email and your password will remain the same.","Dacă nu dumneavoastră ați făcut această solicitare, ignorați acest email și parola dumneavoastră va rămâne aceeași.","module","Magento_User"
"Reset Password Template","Resetare șablon parolă","module","Magento_User"
"Email template chosen based on theme fallback when ""Default"" option is selected.","șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată.","module","Magento_User"
"Maximum Login Failures to Lockout Account","Numărul maxim de eșuări la conectare penrtu blocarea contului","module","Magento_User"
"We will disable this feature if the value is empty.","Această caracteristică va fi dezactivată dacă valoarea este nulă.","module","Magento_User"
"Lockout Time (minutes)","Timp blocare (minute)","module","Magento_User"
"Password Lifetime (days)","Termen parolă (zile)","module","Magento_User"
"Password Change","Modificare parolă","module","Magento_User"
"Unlock","Deblocare","module","Magento_User"
"ID","ID","module","Magento_User"
"Username","Nume utilizator","module","Magento_User"
"Last login","Ultima conectare","module","Magento_User"
"Failures","Eșuări","module","Magento_User"
"Unlocked","Deblocat","module","Magento_User"
