"First-Class Mail Large Envelope","Plic Mare prin Poștă Clasa întâi","module","Magento_Usps"
"First-Class Mail Letter","Scrisoare prin Poștă Clasa întâi","module","Magento_Usps"
"First-Class Mail Parcel","Colet prin Poștă Clasa întâi","module","Magento_Usps"
"First-Class Mail Postcards","Cărți Poștale prin Poștă Clasa întâi","module","Magento_Usps"
"Priority Mail","Poștă Prioritară","module","Magento_Usps"
"Priority Mail Express Hold For Pickup","Poștă Prioritară Expres în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Express","Poștă Prioritară Expres","module","Magento_Usps"
"Standard Post","Poștă Standard","module","Magento_Usps"
"Media Mail","Poștă Media","module","Magento_Usps"
"Library Mail","Poștă Bibliotecă","module","Magento_Usps"
"Priority Mail Express Flat Rate Envelope","Plic Tarif Forfetar Poștă Prioritară Expres","module","Magento_Usps"
"First-Class Mail Large Postcards","Cărți Poștale Mari prin Poștă Clasa întâi","module","Magento_Usps"
"Priority Mail Flat Rate Envelope","Plic Tarif Forfetar Poștă Prioritară","module","Magento_Usps"
"Priority Mail Medium Flat Rate Box","Cutie Tarif Forfetar Medie Poștă Prioritară","module","Magento_Usps"
"Priority Mail Large Flat Rate Box","Cutie Tarif Forfetar Mare Poștă Prioritară","module","Magento_Usps"
"Priority Mail Express Sunday/Holiday Delivery","Livrare de Sărbători/Duminica Poștă Prioritară Expres","module","Magento_Usps"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Plic Tarif Forfetar Livrare de Sărbători/Duminica Poștă Prioritară Expres","module","Magento_Usps"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Plic Tarif Forfetarl în așteptare pentru ridicare Poștă Prioritară Expres","module","Magento_Usps"
"Priority Mail Small Flat Rate Box","Cutie Tarif Forfetar Mică Poștă Prioritară","module","Magento_Usps"
"Priority Mail Padded Flat Rate Envelope","Plic Tarif Forfetar Căptușit Poștă Prioritară","module","Magento_Usps"
"Priority Mail Express Legal Flat Rate Envelope","Plic Tarif Forfetar Legal Poștă Prioritară Expres","module","Magento_Usps"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Plic Tarif Forfetar Legal Poștă Prioritară Expres în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Plic Tarif Forfetar Legal Livrare de Sărbători/Duminica Poștă Prioritară Expres","module","Magento_Usps"
"Priority Mail Hold For Pickup","Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Large Flat Rate Box Hold For Pickup","Cutie Tarif Forfetar Mare Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Cutie Tarif Forfetar Medie Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Small Flat Rate Box Hold For Pickup","Cutie Tarif Forfetar Mică Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Flat Rate Envelope Hold For Pickup","Plic Tarif Forfetar Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Gift Card Flat Rate Envelope","Plic Card-cadou Tarif Forfetar Poștă Prioritară","module","Magento_Usps"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Plic Card-cadou Tarif Forfetar Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Window Flat Rate Envelope","Plic Tarif Forfetar Fereastră Poștă Prioritară","module","Magento_Usps"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Plic Tarif Forfetar Fereastră Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Small Flat Rate Envelope","Plic Tarif Forfetar Mic Poștă Prioritară","module","Magento_Usps"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Plic Tarif Forfetar Mic Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Legal Flat Rate Envelope","Plic Tarif Forfetar Legal Poștă Prioritară","module","Magento_Usps"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Plic Tarif Forfetar Legal Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Plic Tarif Forfetar Căptușit Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Regional Rate Box A","Cutie A Preț Regional Poștă Prioritară","module","Magento_Usps"
"Priority Mail Regional Rate Box A Hold For Pickup","Cutie A Preț Regional Poștă Prioritară în așteptare pentru ridicare","module","Magento_Usps"
"Priority Mail Regional Rate Box B","Cutie B Preț Regional Poștă Prioritară","module","Magento_Usps"
