"Operation allowed only in HTTPS","Operațiune permisă numai în HTTPS","module","Magento_Webapi"
"Cannot perform GET operation with store code 'all'","Nu se poate efectua operațiunea GET cu codul de magazin 'all'","module","Magento_Webapi"
"Request does not match any route.","Solicitarea nu coincide cu nici o rută.","module","Magento_Webapi"
"Authentication header format is invalid.","Formatul antetului de autentificare nu este valid.","module","Magento_Webapi"
"Authentication header is absent.","Antetul de autentificare lipsește.","module","Magento_Webapi"
"Not allowed parameters: %1. Please use only %2 and %3.","Parametri nepermiși: %1. Folosiți numai %2 și %3.","module","Magento_Webapi"
"Requested service is not available: ""%1""","Serviciul solicitat nu este disponibil: ""%1""","module","Magento_Webapi"
"Operation ""%1"" not found.","Operațiunea ""%1"" nu este găsită.","module","Magento_Webapi"
"SOAP extension is not loaded.","Extensia SOAP nu este încărcată.","module","Magento_Webapi"
"Invalid XML","XML nevalid","module","Magento_Webapi"
"Invalid XML: Detected use of illegal DOCTYPE","XML nevalid: S-a detectat utilizarea ilegală a DOCTYPE","module","Magento_Webapi"
"message","mesaj","module","Magento_Webapi"
"Message","Mesaj","module","Magento_Webapi"
"Magento Web API","API Web Magento","module","Magento_Webapi"
"SOAP Settings","Setări SOAP","module","Magento_Webapi"
"Default Response Charset","Charset răspuns implicit","module","Magento_Webapi"
"If empty, UTF-8 will be used.","Dacă este gol, UTF-8 va fi utilizat.","module","Magento_Webapi"
"Web Services Configuration","Configurație servicii web","module","Magento_Webapi"
"REST and SOAP configurations, generated WSDL file.","Configurațiile REST și SOAP, au generat fișierul WSDL","module","Magento_Webapi"
